"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"11",1700755268149,"23/11/2023 16:01:08",1700755268149,0,"23/11/2023 16:01:08",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",5270.967,24803.946,24818.955000003,5270.967,24803.946,24818.955000003,1,5270.967,19547.988000003,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF11898"
"12",1700755268150,"23/11/2023 16:01:08",1700755268150,0,"23/11/2023 16:01:08",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",19633.014,24803.946,24819.255,19633.014,24803.946,24819.255,1,19633.014,5186.24099999999,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF11898"
"13",1700755268150,"23/11/2023 16:01:08",1700755268150,0,"23/11/2023 16:01:08",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",23853.219,24803.946,24819.6550000022,23853.219,24803.946,24819.6550000022,1,23853.219,966.436000002228,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"MDPRF11898"
"14",1700755268153,"23/11/2023 16:01:08",1700755268153,0,"23/11/2023 16:01:08",152734,7,"questionnaire-uu2n",NA,33166223,9820294,NA,"rejected - time limit reached",NA,"655f7538c10c0e2709fa6d00","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1200","842x1082",NA,NA,0,"BIQ (Charlotte)",2,"In","ABLCKDJEIFHG",NA,"In",3,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF11898"
"1",1700755881251,"23/11/2023 16:11:21",1700755881251,0,"23/11/2023 16:11:21",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF16716"
"2",1700755925699,"23/11/2023 16:12:05",1700755925699,0,"23/11/2023 16:12:05",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",44455.7449997139,44443.192,44455.7449997139,44455.7449997139,44443.192,44455.7449997139,1,44455.7449997139,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF16716"
"3",1700755925704,"23/11/2023 16:12:05",1700755925704,0,"23/11/2023 16:12:05",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","6",18836.097,44443.192,44459.872,18836.097,44443.192,44459.872,1,18836.097,25623.775,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"MDPRF16716"
"4",1700755925705,"23/11/2023 16:12:05",1700755925705,0,"23/11/2023 16:12:05",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","5",31061.434,44443.192,44459.872,31061.434,44443.192,44459.872,1,31061.434,13398.438,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"MDPRF16716"
"5",1700755925706,"23/11/2023 16:12:05",1700755925706,0,"23/11/2023 16:12:05",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",38197.264,44443.192,44459.872,38197.264,44443.192,44459.872,1,38197.264,6262.608,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"MDPRF16716"
"6",1700755950563,"23/11/2023 16:12:30",1700755950563,0,"23/11/2023 16:12:30",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",24877.465,24860.778,24877.465,24877.465,24860.778,24877.465,1,24877.465,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"MDPRF16716"
"7",1700755950568,"23/11/2023 16:12:30",1700755950568,0,"23/11/2023 16:12:30",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",6910.079,24860.778,24877.465,6910.079,24860.778,24877.465,1,6910.079,17967.386,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"MDPRF16716"
"8",1700755950569,"23/11/2023 16:12:30",1700755950569,0,"23/11/2023 16:12:30",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","0",16187.311,24860.778,24877.465,16187.311,24860.778,24877.465,1,16187.311,8690.15399999999,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"MDPRF16716"
"9",1700755950570,"23/11/2023 16:12:30",1700755950570,0,"23/11/2023 16:12:30",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","0",23997.665,24860.778,24877.465,23997.665,24860.778,24877.465,1,23997.665,879.799999999988,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"MDPRF16716"
"10",1700755967404,"23/11/2023 16:12:47",1700755967404,0,"23/11/2023 16:12:47",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",16865.6749998093,16855.262,16865.6749998093,16865.6749998093,16855.262,16865.6749998093,1,16865.6749998093,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"MDPRF16716"
"11",1700755967409,"23/11/2023 16:12:47",1700755967409,0,"23/11/2023 16:12:47",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",8394.71400000001,16855.262,16870.2749997139,8394.71400000001,16855.262,16870.2749997139,1,8394.71400000001,8475.5609997139,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF16716"
"12",1700755967410,"23/11/2023 16:12:47",1700755967410,0,"23/11/2023 16:12:47",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",12075.156,16855.262,16871.3750000954,12075.156,16855.262,16871.3750000954,1,12075.156,4796.21900009537,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF16716"
"13",1700755967411,"23/11/2023 16:12:47",1700755967411,0,"23/11/2023 16:12:47",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",15425.855,16855.262,16872.258,15425.855,16855.262,16872.258,1,15425.855,1446.40299999999,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"MDPRF16716"
"14",1700755967419,"23/11/2023 16:12:47",1700755967419,0,"23/11/2023 16:12:47",152734,7,"questionnaire-uu2n",NA,33166510,9820339,NA,"rejected - time limit reached",NA,"655f75bfa480aa0149f7bb90","computer","Desktop or Laptop","Windows 10","Edge 118.0.2088.69","1280x720","1232x594",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",4,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF16716"
"1",1700756268384,"23/11/2023 16:17:48",1700756268384,0,"23/11/2023 16:17:48",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF51004"
"2",1700756342043,"23/11/2023 16:19:02",1700756342043,0,"23/11/2023 16:19:02",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",73663.1119999762,73659.097,73663.1119999762,73663.1119999762,73659.097,73663.1119999762,1,73663.1119999762,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF51004"
"3",1700756342044,"23/11/2023 16:19:02",1700756342044,0,"23/11/2023 16:19:02",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",52134.003,73659.097,73663.271,52134.003,73659.097,73663.271,1,52134.003,21529.268,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"MDPRF51004"
"4",1700756342045,"23/11/2023 16:19:02",1700756342045,0,"23/11/2023 16:19:02",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",64779.624,73659.097,73663.271,64779.624,73659.097,73663.271,1,64779.624,8883.647,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"MDPRF51004"
"5",1700756342045,"23/11/2023 16:19:02",1700756342045,0,"23/11/2023 16:19:02",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",71198.373,73659.097,73663.271,71198.373,73659.097,73663.271,1,71198.373,2464.898,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"MDPRF51004"
"6",1700756367235,"23/11/2023 16:19:27",1700756367235,0,"23/11/2023 16:19:27",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",25199.115,25195.336,25199.115,25199.115,25195.336,25199.115,1,25199.115,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"MDPRF51004"
"7",1700756367237,"23/11/2023 16:19:27",1700756367237,0,"23/11/2023 16:19:27",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",4863.07100000001,25195.336,25199.52,4863.07100000001,25195.336,25199.52,1,4863.07100000001,20336.449,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"MDPRF51004"
"8",1700756367237,"23/11/2023 16:19:27",1700756367237,0,"23/11/2023 16:19:27",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",13408.876,25195.336,25199.52,13408.876,25195.336,25199.52,1,13408.876,11790.644,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"MDPRF51004"
"9",1700756367237,"23/11/2023 16:19:27",1700756367237,0,"23/11/2023 16:19:27",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",24156.821,25195.336,25199.52,24156.821,25195.336,25199.52,1,24156.821,1042.69900000001,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"MDPRF51004"
"10",1700756386789,"23/11/2023 16:19:46",1700756386789,0,"23/11/2023 16:19:46",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",19556.462,19552.297,19556.462,19556.462,19552.297,19556.462,1,19556.462,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"MDPRF51004"
"11",1700756386790,"23/11/2023 16:19:46",1700756386790,0,"23/11/2023 16:19:46",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",12491.309,19552.297,19556.462,12491.309,19552.297,19556.462,1,12491.309,7065.15299999999,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF51004"
"12",1700756386791,"23/11/2023 16:19:46",1700756386791,0,"23/11/2023 16:19:46",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",16290.835,19552.297,19556.462,16290.835,19552.297,19556.462,1,16290.835,3265.62699999999,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF51004"
"13",1700756386791,"23/11/2023 16:19:46",1700756386791,0,"23/11/2023 16:19:46",152734,7,"questionnaire-uu2n",NA,33166665,9820530,NA,"rejected - time limit reached",NA,"655f7accd0f835342f1bfbaf","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","EFDGCHBIAJLK",NA,"In",2,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",19022.65,19552.297,19556.462,19022.65,19552.297,19556.462,1,19022.65,533.811999999991,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"MDPRF51004"
