"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Custom.study.tncs.accepted.at","Random_ID"
"47","APPROVED","2023-11-23T16:30:34.446000Z","2023-11-23T17:03:39.037000Z","2023-11-24T10:24:20.870000Z","2023-11-23T17:03:39.745000Z",1985,"NOCODE",659,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Due to start a new job within the next month","Not Applicable","MDPRF51524"
"48","APPROVED","2023-11-23T16:28:59.130000Z","2023-11-23T17:18:25.129000Z","2023-11-24T10:33:54.477000Z","2023-11-23T17:18:25.996000Z",2966,"NOCODE",337,"English, Spanish","22","Female","Other","Mexico","Mexico","Mexico","Spanish","Yes","Unemployed (and job seeking)","Not Applicable","MDPRF62013"
"49","APPROVED","2023-11-23T16:29:38.811000Z","2023-11-23T17:11:32.898000Z","2023-11-24T10:26:17.756000Z","2023-11-23T17:11:33.728000Z",2515,"NOCODE",52,"English","19","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF38237"
"50","APPROVED","2023-11-23T16:31:40.849000Z","2023-11-23T17:04:12.025000Z","2023-11-24T10:36:10.770000Z","2023-11-23T17:04:12.777000Z",1952,"NOCODE",930,"English","26","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","Not Applicable","MDPRF74794"
"51","APPROVED","2023-11-23T16:32:26.593000Z","2023-11-23T17:20:46.257000Z","2023-11-24T11:09:47.295000Z","2023-11-23T17:20:47.084000Z",2900,"NOCODE",1397,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","Not Applicable","MDPRF73709"
"52","APPROVED","2023-11-23T16:32:36.508000Z","2023-11-23T17:17:36.995000Z","2023-11-24T10:33:59.513000Z","2023-11-23T17:17:37.749000Z",2701,"NOCODE",998,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF34589"
"53","APPROVED","2023-11-23T16:34:47.096000Z","2023-11-23T17:10:13.769000Z","2023-11-24T10:33:59.697000Z","2023-11-23T17:10:14.936000Z",2127,"NOCODE",270,"English, Spanish","20","Male","Mixed","Honduras","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF58963"
"54","APPROVED","2023-11-23T16:36:02.259000Z","2023-11-23T17:19:14.452000Z","2023-11-24T11:09:41.734000Z","2023-11-23T17:19:15.290000Z",2593,"NOCODE",98,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF63935"
"55","APPROVED","2023-11-23T16:36:25.039000Z","2023-11-23T17:53:41.246000Z","2023-11-24T10:36:10.973000Z","2023-11-23T17:53:42.688000Z",4637,"NOCODE",111,"English","26","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","Not Applicable","MDPRF30579"
"56","APPROVED","2023-11-23T16:46:29.089000Z","2023-11-23T17:34:50.367000Z","2023-11-24T10:33:59.871000Z","2023-11-23T17:34:51.280000Z",2902,"NOCODE",961,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","Not Applicable","MDPRF18006"
"57","APPROVED","2023-11-23T16:47:27.805000Z","2023-11-23T18:19:26.898000Z","2023-11-24T11:09:41.896000Z","2023-11-23T18:19:27.773000Z",5520,"NOCODE",902,"English","21","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","Not Applicable","MDPRF71871"
"58","APPROVED","2023-11-23T16:52:56.199000Z","2023-11-23T17:53:04.759000Z","2023-11-24T10:36:11.165000Z","2023-11-23T17:53:05.597000Z",3609,"NOCODE",1245,"English","24","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Unemployed (and job seeking)","Not Applicable","MDPRF77780"
"59","APPROVED","2023-11-23T18:26:48.730000Z","2023-11-23T19:20:41.952000Z","2023-11-24T10:41:12.387000Z","2023-11-23T19:20:42.752000Z",3234,"NOCODE",568,"Bengali, English","21","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","Not Applicable","MDPRF60784"
"60","APPROVED","2023-11-23T19:23:47.289000Z","2023-11-23T20:30:49.242000Z","2023-11-24T10:41:07.697000Z","2023-11-23T20:30:50.231000Z",4022,"NOCODE",1525,"Chinese, English","20","Female","Asian","China","United States","China","Chinese","Yes","Unemployed (and job seeking)","Not Applicable","MDPRF81357"
