"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1700757366710,"23/11/2023 16:36:06",1700757366710,0,"23/11/2023 16:36:06",152734,7,"questionnaire-qxhw",NA,33167451,9820605,NA,"rejected - time limit reached",NA,"655f7c21ffed10f65ad158f8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x603",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In",3,"1-0","1","MDPRF14182"
"1",1700757380577,"23/11/2023 16:36:20",1700735780577,-6,"23/11/2023 04:36:20",152734,7,"questionnaire-qxhw",NA,33167466,9820562,NA,"rejected - time limit reached",NA,"655f7bc4df8a36494422cf56","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x713",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"In",6,"1-0","1","MDPRF64809"
"1",1700757487767,"23/11/2023 16:38:07",1700757487767,0,"23/11/2023 16:38:07",152734,7,"questionnaire-qxhw",NA,33167617,9820614,NA,"rejected - time limit reached",NA,"655f7cee341aac1418144400","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x800","1280x643",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In",6,"1-0","1","MDPRF71080"
"1",1700757623250,"23/11/2023 16:40:23",1700757623250,0,"23/11/2023 16:40:23",152734,7,"questionnaire-qxhw",NA,33167801,9820673,NA,"rejected - time limit reached",NA,"655f7e5457bf9a1d80f7bbca","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"In",3,"1-0","1","MDPRF74794"
"1",1700757690675,"23/11/2023 16:41:30",1700757690675,0,"23/11/2023 16:41:30",152734,7,"questionnaire-qxhw",NA,33167890,9820664,NA,"rejected - time limit reached",NA,"655f7d4c53bc8bdaae61f03d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1920x1080","1280x637",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"In",5,"1-0","1","MDPRF51524"
"1",1700757733424,"23/11/2023 16:42:13",1700757733424,0,"23/11/2023 16:42:13",152734,7,"questionnaire-qxhw",NA,33167927,9820625,NA,"rejected - time limit reached",NA,"655f7bfa11ced56ce4d7f577","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x698",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"In",2,"1-0","1","MDPRF52836"
"1",1700757949094,"23/11/2023 16:45:49",1700757949094,0,"23/11/2023 16:45:49",152734,7,"questionnaire-qxhw",NA,33168136,9820649,NA,"rejected - time limit reached",NA,"655f7dddb006d3ba2d365e63","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1366x768","1363x609",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"In",4,"1-0","1","MDPRF38237"
"1",1700758107323,"23/11/2023 16:48:27",1700758107323,0,"23/11/2023 16:48:27",152734,7,"questionnaire-qxhw",NA,33168255,9820722,NA,"rejected - time limit reached",NA,"655f7f240082ccee9bc092b8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x610",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED",NA,"In",1,"1-0","1","MDPRF58963"
"1",1700758201161,"23/11/2023 16:50:01",1700758201161,0,"23/11/2023 16:50:01",152734,7,"questionnaire-qxhw",NA,33168336,9820752,NA,"rejected - time limit reached",NA,"655f7f63b006d3ba2d365e96","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1474x829","1466x674",NA,NA,0,"Attention Check 2",2,"In","KLJAIBHCGDFE",NA,"In",6,"1-0","1","MDPRF63935"
"1",1700758442301,"23/11/2023 16:54:02",1700758442301,0,"23/11/2023 16:54:02",152734,7,"questionnaire-qxhw",NA,33168535,9820685,NA,"rejected - time limit reached",NA,"655f7ea4535ac2cc599ed824","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 2",2,"In","LAKBJCIDHEGF",NA,"In",4,"1-0","1","MDPRF34589"
"1",1700758496166,"23/11/2023 16:54:56",1700758496166,0,"23/11/2023 16:54:56",152734,7,"questionnaire-qxhw",NA,33168579,9820679,NA,"rejected - time limit reached",NA,"655f7e9ad98c15d4e9c05ed5","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"In",2,"1-0","1","MDPRF73709"
"1",1700758564784,"23/11/2023 16:56:04",1700758564784,0,"23/11/2023 16:56:04",152734,7,"questionnaire-qxhw",NA,33168621,9820866,NA,"rejected - time limit reached",NA,"655f7dcba2d9e17d377c212a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1366x768","1366x683",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In",5,"1-0","1","MDPRF62013"
"1",1700758687985,"23/11/2023 16:58:07",1700758687985,0,"23/11/2023 16:58:07",152734,7,"questionnaire-qxhw",NA,33168716,9820908,NA,"rejected - time limit reached",NA,"655f81d30fbda4736850d2c1","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In",3,"1-0","1","MDPRF18006"
"1",1700758759536,"23/11/2023 16:59:19",1700758759536,0,"23/11/2023 16:59:19",152734,7,"questionnaire-qxhw",NA,33168759,9820571,NA,"rejected - time limit reached",NA,"655f7bf4cf8aa35058101177","computer","Desktop or Laptop","Windows 10","Edge 112.0.1722.48","1536x864","1479x746",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED",NA,"In",6,"1-0","1","MDPRF34905"
"1",1700758866951,"23/11/2023 17:01:06",1700758866951,0,"23/11/2023 17:01:06",152734,7,"questionnaire-qxhw",NA,33168811,9820510,NA,"rejected - time limit reached",NA,"655f7a4f2a94cd085a122ad7","computer","Desktop or Laptop","Mac OS 10.15.7","Opera 102.0.0.0","1280x800","1226x685",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"In",3,"1-0","1","MDPRF16028"
"1",1700758984097,"23/11/2023 17:03:04",1700758984097,0,"23/11/2023 17:03:04",152734,7,"questionnaire-qxhw",NA,33168894,9820915,NA,"rejected - time limit reached",NA,"655f821c784084737cfa47f6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1920x1200","1821x983",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In",2,"1-0","1","MDPRF71871"
"1",1700759901543,"23/11/2023 17:18:21",1700759901543,0,"23/11/2023 17:18:21",152734,7,"questionnaire-qxhw",NA,33169412,9820756,NA,"rejected - time limit reached",NA,"655f7f89b910b6df06f3c02c","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1920x1080","1912x924",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"In",4,"1-0","1","MDPRF30579"
"1",1700759923524,"23/11/2023 17:18:43",1700759923524,0,"23/11/2023 17:18:43",152734,7,"questionnaire-qxhw",NA,33169426,9820987,NA,"rejected - time limit reached",NA,"655f83664c219c2e7e656e36","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"In",1,"1-0","1","MDPRF77780"
"1",1700765016937,"23/11/2023 18:43:36",1700765016937,0,"23/11/2023 18:43:36",152734,7,"questionnaire-qxhw",NA,33171812,9821731,NA,"rejected - time limit reached",NA,"655f996826dab97e2e5df13e","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x739",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"In",5,"1-0","1","MDPRF60784"
"1",1700769148964,"23/11/2023 19:52:28",1700751148964,-5,"23/11/2023 09:52:28",152734,7,"questionnaire-qxhw",NA,33173792,9822108,NA,"rejected - time limit reached",NA,"655fa4a184706961654d5d6a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1475x830","1341x612",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"In",3,"1-0","1","MDPRF81357"
