"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"1",1701952549667,"07/12/2023 12:35:49",1701952549439,0,"07/12/2023 12:35:49",152734,16,"task-9qxs",NA,33515295,9922727,NA,"complete",NA,"6571b8c68b25e8ab178d995f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJLK",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF44703"
"2",1701952564043,"07/12/2023 12:36:04",1701952563851,0,"07/12/2023 12:36:03",152734,16,"task-9qxs",NA,33515295,9922727,NA,"complete",NA,"6571b8c68b25e8ab178d995f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJLK",NA,"In","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",14127,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF44703"
"3",1701952566977,"07/12/2023 12:36:06",1701952566770,0,"07/12/2023 12:36:06",152734,16,"task-9qxs",NA,33515295,9922727,NA,"complete",NA,"6571b8c68b25e8ab178d995f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJLK",NA,"In","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",2907.10000038147,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF44703"
"4",1701952567042,"07/12/2023 12:36:07",1701952566775,0,"07/12/2023 12:36:06",152734,16,"task-9qxs",NA,33515295,9922727,NA,"complete",NA,"6571b8c68b25e8ab178d995f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x783",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJLK",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",17336,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF44703"
"1",1701953551630,"07/12/2023 12:52:31",1701953550588,0,"07/12/2023 12:52:30",152734,16,"task-9qxs",NA,33516117,9922813,NA,"complete",NA,"6571bae8b39543f9d04ef958","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF72836"
"2",1701953567242,"07/12/2023 12:52:47",1701953566220,0,"07/12/2023 12:52:46",152734,16,"task-9qxs",NA,33516117,9922813,NA,"complete",NA,"6571bae8b39543f9d04ef958","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",15076.2999999998,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF72836"
"3",1701953571233,"07/12/2023 12:52:51",1701953570229,0,"07/12/2023 12:52:50",152734,16,"task-9qxs",NA,33516117,9922813,NA,"complete",NA,"6571bae8b39543f9d04ef958","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",3966.20000000019,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF72836"
"4",1701953571312,"07/12/2023 12:52:51",1701953570242,0,"07/12/2023 12:52:50",152734,16,"task-9qxs",NA,33516117,9922813,NA,"complete",NA,"6571bae8b39543f9d04ef958","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",19653,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF72836"
"1",1701953755560,"07/12/2023 12:55:55",1701953754879,0,"07/12/2023 12:55:54",152734,16,"task-9qxs",NA,33516278,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF80741"
"2",1701953762462,"07/12/2023 12:56:02",1701953761820,0,"07/12/2023 12:56:01",152734,16,"task-9qxs",NA,33516278,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",6738.79999999981,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF80741"
