"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"7",1701951456272,"07/12/2023 12:17:36",1701951456272,0,"07/12/2023 12:17:36",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",3267.4,9238.8,9241.10000000298,3267.4,9238.8,9241.10000000298,1,3267.4,5973.70000000298,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"MDPRF71538"
"8",1701951456273,"07/12/2023 12:17:36",1701951456273,0,"07/12/2023 12:17:36",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",3649.6,9238.8,9241.4,3649.6,9238.8,9241.4,1,3649.6,5591.8,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"MDPRF71538"
"9",1701951456273,"07/12/2023 12:17:36",1701951456273,0,"07/12/2023 12:17:36",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",4873.2,9238.8,9241.60000000298,4873.2,9238.8,9241.60000000298,1,4873.2,4368.40000000298,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"MDPRF71538"
"10",1701951461630,"07/12/2023 12:17:41",1701951461630,0,"07/12/2023 12:17:41",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",5359.8,5352.9,5359.8,5359.8,5352.9,5359.8,1,5359.8,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"MDPRF71538"
"11",1701951461632,"07/12/2023 12:17:41",1701951461632,0,"07/12/2023 12:17:41",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",1383.5,5352.9,5359.8,1383.5,5352.9,5359.8,1,1383.5,3976.3,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF71538"
"12",1701951461632,"07/12/2023 12:17:41",1701951461632,0,"07/12/2023 12:17:41",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",2474.9,5352.9,5359.8,2474.9,5352.9,5359.8,1,2474.9,2884.9,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF71538"
"13",1701951461632,"07/12/2023 12:17:41",1701951461632,0,"07/12/2023 12:17:41",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",3142.3,5352.9,5359.8,3142.3,5352.9,5359.8,1,3142.3,2217.5,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"MDPRF71538"
"14",1701951461634,"07/12/2023 12:17:41",1701951461634,0,"07/12/2023 12:17:41",152734,16,"questionnaire-uu2n",NA,33514532,9922638,NA,"complete",NA,"6571b65c0e93731c3ef24841","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x955",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF71538"
"1",1701951756583,"07/12/2023 12:22:36",1701951756583,0,"07/12/2023 12:22:36",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF73934"
"2",1701951780596,"07/12/2023 12:23:00",1701951780596,0,"07/12/2023 12:23:00",152734,16,"questionnaire-uu2n",NA,33514747,9922687,NA,"complete",NA,"6571b6759ff002b50521cc3b","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1285x605","1280x605",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",24025,24011,24025,24025,24011,24025,1,24025,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF73934"
