"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"13",1701953946222,"07/12/2023 12:59:06",1701953946222,0,"07/12/2023 12:59:06",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",4,"Rating","Screen 1","poh9ia",1,"response","6",2266.193,3132.68700000001,3144.44899999991,2266.193,3132.68700000001,3144.44899999991,1,2266.193,878.255999999907,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",2,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"14",1701953949608,"07/12/2023 12:59:09",1701953949608,0,"07/12/2023 12:59:09",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",5,"Rating","Screen 1","poh9ia",1,"continue","",3397.56200000018,3382.609,3397.56200000018,3397.56200000018,3382.609,3397.56200000018,1,3397.56200000018,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",2,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"15",1701953949609,"07/12/2023 12:59:09",1701953949609,0,"07/12/2023 12:59:09",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",5,"Rating","Screen 1","poh9ia",1,"response","89",2499.46099999998,3382.609,3398.66200000027,2499.46099999998,3382.609,3398.66200000027,1,2499.46099999998,899.201000000292,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",2,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"16",1701953952784,"07/12/2023 12:59:12",1701953952784,0,"07/12/2023 12:59:12",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",6,"Rating","Screen 1","poh9ia",1,"continue","",3191.05300000028,3182.66500000001,3191.05300000028,3191.05300000028,3182.66500000001,3191.05300000028,1,3191.05300000028,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",2,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"17",1701953952785,"07/12/2023 12:59:12",1701953952785,0,"07/12/2023 12:59:12",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",6,"Rating","Screen 1","poh9ia",1,"response","8",2266.18299999999,3182.66500000001,3191.85300000009,2266.18299999999,3182.66500000001,3191.85300000009,1,2266.18299999999,925.6700000001,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",2,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"18",1701953983737,"07/12/2023 12:59:43",1701953983737,0,"07/12/2023 12:59:43",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",1,"RestH","Screen 1","wxp2y6",1,"continue","",30960.088,30960.088,30960.088,30960.088,30960.088,30960.088,1,30960.088,0,0,NA,"Fixation Timing","Fixation",1,"object-41","RestH","","","",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"19",1701953987093,"07/12/2023 12:59:47",1701953987093,0,"07/12/2023 12:59:47",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",7,"Rating","Screen 1","poh9ia",1,"continue","",3357.30000000028,3349.288,3357.30000000028,3357.30000000028,3349.288,3357.30000000028,1,3357.30000000028,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",3,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"20",1701953987094,"07/12/2023 12:59:47",1701953987094,0,"07/12/2023 12:59:47",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",7,"Rating","Screen 1","poh9ia",1,"response","4",2466.12700000001,3349.288,3358.30000000028,2466.12700000001,3349.288,3358.30000000028,1,2466.12700000001,892.173000000272,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",3,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"21",1701953989224,"07/12/2023 12:59:49",1701953989224,0,"07/12/2023 12:59:49",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",8,"Rating","Screen 1","poh9ia",1,"continue","",2138.91200000019,2132.87899999999,2138.91200000019,2138.91200000019,2132.87899999999,2138.91200000019,1,2138.91200000019,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",3,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
"22",1701953989225,"07/12/2023 12:59:49",1701953989225,0,"07/12/2023 12:59:49",152734,16,"task-nxrg",NA,33516293,9922888,NA,"live",NA,"6571bc9d1ea2dfd675c43a4d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x740",NA,NA,0,"Rest + Money + Mood rating",34,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet6",8,"Rating","Screen 1","poh9ia",1,"response","4",1266.399,2132.87899999999,2140.01200000028,1266.399,2132.87899999999,2140.01200000028,1,1266.399,873.613000000274,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",3,NA,NA,NA,NA,NA,NA,3,NA,NA,"MDPRF80741"
