"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"4",1727958690173,"03/10/2024 12:31:30",1727958690062,1,"03/10/2024 13:31:30",187387,10,"task-9qxs",NA,40420191,11794006,NA,"complete",NA,"66fe8d671ce61b9285b53bb7","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"END TASK",NA,"","","",7536,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF46232"
"1",1727958699330,"03/10/2024 12:31:39",1727958697731,1,"03/10/2024 13:31:37",187387,10,"task-9qxs",NA,40420207,11793996,NA,"complete",NA,"66fe8cf148ed23dc14bcb446","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1300x730","1300x561",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF01788"
"2",1727958713965,"03/10/2024 12:31:53",1727958712333,1,"03/10/2024 13:31:52",187387,10,"task-9qxs",NA,40420207,11793996,NA,"complete",NA,"66fe8cf148ed23dc14bcb446","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1300x730","1300x561",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",14379.9000000004,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF01788"
"3",1727958717940,"03/10/2024 12:31:57",1727958716336,1,"03/10/2024 13:31:56",187387,10,"task-9qxs",NA,40420207,11793996,NA,"complete",NA,"66fe8cf148ed23dc14bcb446","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1300x730","1300x561",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",3982.30000000075,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF01788"
"4",1727958718057,"03/10/2024 12:31:58",1727958716343,1,"03/10/2024 13:31:56",187387,10,"task-9qxs",NA,40420207,11793996,NA,"complete",NA,"66fe8cf148ed23dc14bcb446","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1300x730","1300x561",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq5","Spreadsheet1","",NA,"END TASK",NA,"","","",18611,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF01788"
"1",1727958703004,"03/10/2024 12:31:43",1727958702684,1,"03/10/2024 13:31:42",187387,10,"task-9qxs",NA,40420210,11793998,NA,"complete",NA,"66fe8cb364d1391906cc3ee1","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq1","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF29651"
"2",1727958709335,"03/10/2024 12:31:49",1727958709040,1,"03/10/2024 13:31:49",187387,10,"task-9qxs",NA,40420210,11793998,NA,"complete",NA,"66fe8cb364d1391906cc3ee1","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq1","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",6082.40000009537,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF29651"
"3",1727958711214,"03/10/2024 12:31:51",1727958710920,1,"03/10/2024 13:31:50",187387,10,"task-9qxs",NA,40420210,11793998,NA,"complete",NA,"66fe8cb364d1391906cc3ee1","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq1","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",1866.20000004768,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF29651"
"4",1727958711303,"03/10/2024 12:31:51",1727958710929,1,"03/10/2024 13:31:50",187387,10,"task-9qxs",NA,40420210,11793998,NA,"complete",NA,"66fe8cb364d1391906cc3ee1","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq1","Spreadsheet1","",NA,"END TASK",NA,"","","",8245,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF29651"
"1",1727958750444,"03/10/2024 12:32:30",1727958750176,1,"03/10/2024 13:32:30",187387,10,"task-9qxs",NA,40420242,11793999,NA,"complete",NA,"66fe8d0e8c1d9c51d661beda","computer","Desktop or Laptop","Windows 10","Chrome 128.0.0.0","1920x1080","1920x945",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKEADBC",NA,"In","HM_OCT","seq1","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF58158"
