"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1727796654645,"01/10/2024 15:30:54",1727800254645,1,"01/10/2024 17:30:54",187387,10,"questionnaire-tzdp",NA,40379690,11784155,NA,"complete",NA,"66fc153789f0571b5289e5e9","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1792x1120","1792x998",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","MH_OCT","seq2","1","2","MDPRF98699"
"1",1727796670318,"01/10/2024 15:31:10",1727800270318,1,"01/10/2024 17:31:10",187387,10,"questionnaire-tzdp",NA,40379703,11784168,NA,"complete",NA,"66fc157e08f9211478e4591e","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1600x900","1601x766",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq2","1","2","MDPRF99843"
"1",1727796829769,"01/10/2024 15:33:49",1727800429769,1,"01/10/2024 17:33:49",187387,10,"questionnaire-tzdp",NA,40379815,11784193,NA,"complete",NA,"66fc163b9fb094833dc22423","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"In","HM_OCT","seq1","1","2","MDPRF40116"
"1",1727796873965,"01/10/2024 15:34:33",1727800473965,1,"01/10/2024 17:34:33",187387,10,"questionnaire-tzdp",NA,40379834,11784195,NA,"complete",NA,"66fc16425f593ebf3d6359b6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1680x1050","1660x1005",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","1","2","MDPRF98287"
"1",1727796896504,"01/10/2024 15:34:56",1727800496504,1,"01/10/2024 17:34:56",187387,10,"questionnaire-tzdp",NA,40379869,11784203,NA,"complete",NA,"66fc1662ead54fa37bbe787f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x812",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","MH_OCT","seq5","1","2","MDPRF39858"
"1",1727796926507,"01/10/2024 15:35:26",1727800526507,1,"01/10/2024 17:35:26",187387,10,"questionnaire-tzdp",NA,40379887,11784206,NA,"complete",NA,"66fc164abe52cfeff935d004","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1504x1003","1504x868",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq5","1","2","MDPRF31901"
"1",1727796932174,"01/10/2024 15:35:32",1727800532174,1,"01/10/2024 17:35:32",187387,10,"questionnaire-tzdp",NA,40379889,11784204,NA,"complete",NA,"66fc1666ef19e13e0f829228","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1920x1080","1920x991",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","HM_OCT","seq2","1","2","MDPRF76708"
"1",1727796939479,"01/10/2024 15:35:39",1727800539479,1,"01/10/2024 17:35:39",187387,10,"questionnaire-tzdp",NA,40379899,11784209,NA,"complete",NA,"66fc156f0c15e273dcf0f18b","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"In","MH_OCT","seq1","1","2","MDPRF21747"
"1",1727797008113,"01/10/2024 15:36:48",1727800608113,1,"01/10/2024 17:36:48",187387,10,"questionnaire-tzdp",NA,40379948,11784212,NA,"complete",NA,"66fc16d65f10eb8b213c4767","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 128.0.0.0","1728x1117","1728x882",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq3","1","2","MDPRF63588"
"1",1727797096040,"01/10/2024 15:38:16",1727800696040,1,"01/10/2024 17:38:16",187387,10,"questionnaire-tzdp",NA,40380007,11784223,NA,"complete",NA,"66fc16a297e9d16b0585bf4b","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 128.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 1",2,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq5","1","2","MDPRF59051"
"1",1727797144560,"01/10/2024 15:39:04",1727800744560,1,"01/10/2024 17:39:04",187387,10,"questionnaire-tzdp",NA,40380043,11784233,NA,"complete",NA,"66fc16628f43f378b78c4362","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1536x864","1536x695",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq4","1","2","MDPRF26282"
"1",1727797173453,"01/10/2024 15:39:33",1727800773453,1,"01/10/2024 17:39:33",187387,10,"questionnaire-tzdp",NA,40380054,11784229,NA,"complete",NA,"66fc174e2fcacbe8c219a732","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq4","1","2","MDPRF52256"
"1",1727797354225,"01/10/2024 15:42:34",1727800954225,1,"01/10/2024 17:42:34",187387,10,"questionnaire-tzdp",NA,40380240,11784255,NA,"complete",NA,"66fc17f2311fc97db5e54f5e","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1707x960","1707x799",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq4","1","2","MDPRF72194"
"1",1727797389405,"01/10/2024 15:43:09",1727800989405,1,"01/10/2024 17:43:09",187387,10,"questionnaire-tzdp",NA,40380274,11784261,NA,"complete",NA,"66fc18246bf8e9c39088fc56","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq3","1","2","MDPRF80780"
"1",1727797491667,"01/10/2024 15:44:51",1727801091667,1,"01/10/2024 17:44:51",187387,10,"questionnaire-tzdp",NA,40380338,11784277,NA,"complete",NA,"66fc18b0a4a4866aacab2892","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1280x800","1280x665",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq3","1","2","MDPRF04264"
"1",1727797516871,"01/10/2024 15:45:16",1727801116871,1,"01/10/2024 17:45:16",187387,10,"questionnaire-tzdp",NA,40380360,11784282,NA,"complete",NA,"66fc18f13cb3cdc8861896be","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 129.0.0.0","1440x900","1440x778",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","HM_OCT","seq2","1","2","MDPRF17567"
