"","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..NoWin","Spreadsheet..Win","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Store..MoneyMed","Random_ID"
"1357",166,1707933016202,"14/02/2024 17:50:16",1707933016202,0,"14/02/2024 17:50:16",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",69,"Rating","Screen 1","poh9ia",1,"response","80",1202.29999999993,2004.29999999993,2020.99999999988,1202.29999999993,2004.29999999993,2020.99999999988,1,1202.29999999993,818.699999999953,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",23,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1358",167,1707933020928,"14/02/2024 17:50:20",1707933020928,0,"14/02/2024 17:50:20",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Winnings","Screen 1","rut39p",1,"continue","",4744.49999998813,4730.20000000007,4744.49999998813,4744.49999998813,4730.20000000007,4744.49999998813,1,4744.49999998813,0,0,NA,"Click To Continue","Continue",4,"object-72","Winnings","","","",NA,NA,NA,NA,NA,NA,NA,0.25,NA,0.25,"MDPRF15001"
"1361",170,1707933057898,"14/02/2024 17:50:57",1707933057898,0,"14/02/2024 17:50:57",163173,5,"task-e8t8",NA,35151399,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","IJHKGLFAEBDC",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF15001"
"1362",1,1707932249718,"14/02/2024 17:37:29",1707932249718,0,"14/02/2024 17:37:29",163173,5,"task-e8t8",NA,35151536,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF27407"
"1363",2,1707932259375,"14/02/2024 17:37:39",1707932259375,0,"14/02/2024 17:37:39",163173,5,"task-e8t8",NA,35151536,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Instructions","Screen 1","ddykq7",1,"continue","",10365.5,10350.6,10365.5,10365.5,10350.6,10365.5,1,10365.5,0,0,NA,"Click To Continue","Continue Button",2,"object-18","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF27407"
"1364",3,1707932262028,"14/02/2024 17:37:42",1707932262028,0,"14/02/2024 17:37:42",163173,5,"task-e8t8",NA,35151536,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Instructions","Screen 2","dcmmer",2,"continue","",2668.70000000028,2666.7,2668.70000000028,2668.70000000028,2666.7,2668.70000000028,1,2668.70000000028,0,0,NA,"Click To Continue","Continue Button",2,"object-55","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF27407"
"1365",4,1707932263232,"14/02/2024 17:37:43",1707932263232,0,"14/02/2024 17:37:43",163173,5,"task-e8t8",NA,35151536,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Instructions","Screen 3","ntxvt6",3,"continue","",1205.50000000028,1200,1205.50000000028,1205.50000000028,1200,1205.50000000028,1,1205.50000000028,0,0,NA,"Click To Continue","Continue Button",2,"object-59","Instructions","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF27407"
"1366",5,1707932266308,"14/02/2024 17:37:46",1707932266308,0,"14/02/2024 17:37:46",163173,5,"task-e8t8",NA,35151536,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Rating","Screen 1","poh9ia",1,"continue","",3081.60000000037,3066.7,3081.60000000037,3081.60000000037,3066.7,3081.60000000037,1,3081.60000000037,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF27407"
"1367",6,1707932266308,"14/02/2024 17:37:46",1707932266308,0,"14/02/2024 17:37:46",163173,5,"task-e8t8",NA,35151536,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",1,"Rating","Screen 1","poh9ia",1,"response","67",2350.2,3066.7,3082.2,2350.2,3066.7,3082.2,1,2350.2,732,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF27407"
"1368",7,1707932269124,"14/02/2024 17:37:49",1707932269124,0,"14/02/2024 17:37:49",163173,5,"task-e8t8",NA,35151536,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Rest + Money + Mood rating (2B)",11,"In","EFDGCHBIAJLK",NA,"In",2,"SpreadsheetM_2B","SpreadsheetM_2B",2,"Rating","Screen 1","poh9ia",1,"continue","",2830.80000000028,2817.3,2830.80000000028,2830.80000000028,2817.3,2830.80000000028,1,2830.80000000028,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MDPRF27407"
