"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1694466956982,"11/09/2023 21:15:56",1694452556982,-4,"11/09/2023 13:15:56",142246,8,"questionnaire-qxhw",NA,31633306,9349312,NA,"complete","tchkzm","3JNQLM5FTALYCDMJMDMB77DJR6L2LE","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"1-0","1","SUPAMT08102"
"1",1694467473935,"11/09/2023 21:24:33",1694453073935,-4,"11/09/2023 13:24:33",142246,8,"questionnaire-qxhw",NA,31633448,9349283,NA,"complete","hbtrkk","31JLPPHS20TV3GLZ35G8IYM5UV1O3H","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1242x563",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"1-0","1","SUPAMT63995"
"1",1694467597296,"11/09/2023 21:26:37",1694453197296,-4,"11/09/2023 13:26:37",142246,8,"questionnaire-qxhw",NA,31633471,9349391,NA,"complete","kiptvq","3Z9WI9EOZ5NR7X7JKYDHFB66TDYHKM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"1-0","1","SUPAMT75571"
"1",1694468600630,"11/09/2023 21:43:20",1694454200630,-4,"11/09/2023 13:43:20",142246,8,"questionnaire-qxhw",NA,31633687,9349417,NA,"complete","xogwzf","3BV8HQ2ZZ205YVEGCO9OO6EKFOV6A4","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x869",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"0","4","SUPAMT65760"
"1",1694469713870,"11/09/2023 22:01:53",1694455313870,-4,"11/09/2023 14:01:53",142246,8,"questionnaire-qxhw",NA,31633978,9349512,NA,"complete","ynawuk","3VD82FOHKWNJGGHIWYR9B1QZY2CCON","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"1-0","1","SUPAMT97235"
"1",1694470218009,"11/09/2023 22:10:18",1694455818009,-4,"11/09/2023 14:10:18",142246,8,"questionnaire-qxhw",NA,31634092,9349539,NA,"complete","mjpmmy","3MRNMEIQWB5LFNKZJ26S3Q4NQM9LDL","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"0","4","SUPAMT18230"
"1",1694470275802,"11/09/2023 22:11:15",1694455875802,-4,"11/09/2023 14:11:15",142246,8,"questionnaire-qxhw",NA,31634112,9349476,NA,"complete","pjahvp","32AT8R96GR8U02QBP6TIPCM64JRSU1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","HIGJFKEADBC",NA,"1-0","1","SUPAMT98846"
"1",1694492316268,"12/09/2023 04:18:36",1694477916268,-4,"11/09/2023 20:18:36",142246,8,"questionnaire-qxhw",NA,31634232,9349557,NA,"complete","jopwxr","31HQ4X3T3Y9RHC3HGS1HYPQNRQ0SL5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x768",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"1-0","1","SUPAMT36846"
"1",1694470063688,"11/09/2023 22:07:43",1694455663688,-4,"11/09/2023 14:07:43",142246,8,"questionnaire-qxhw",NA,31634241,9349526,NA,"complete","lkavxq","32AT8R96GR8U02QBP6TIPCM62RLSU9","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"1-0","1","SUPAMT94910"
"1",1694471832793,"11/09/2023 22:37:12",1694457432793,-4,"11/09/2023 14:37:12",142246,8,"questionnaire-qxhw",NA,31634510,9349598,NA,"complete","chslnx","37QW5D2ZRMLW25JYM3SDTK4H7OJS8X","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"1-0","1","SUPAMT46146"
