"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Slider_LH.object.2.Value","Random_ID"
"1",1695401643807,"22/09/2023 16:54:03",1695387243807,-4,"22/09/2023 08:54:03",142246,8,"questionnaire-txxf",NA,31797153,9404830,NA,"complete","jnuwvp","3PB5A5BD015PCM5OHY6QQ6PJ8TC7GY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"56","SUPAMT40213"
"1",1695401724421,"22/09/2023 16:55:24",1695387324421,-4,"22/09/2023 08:55:24",142246,8,"questionnaire-txxf",NA,31797192,9404842,NA,"complete","trxyfg","3TPWUS5F8F0RLPQKNKIJSV3L3SRWCD","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCAB",NA,"56","SUPAMT93631"
"1",1695401857050,"22/09/2023 16:57:37",1695387457050,-4,"22/09/2023 08:57:37",142246,8,"questionnaire-txxf",NA,31797210,9404767,NA,"complete","nucanb","3TE3O8573679FBHWRXJ7TJMIZM1R2Y","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","CDBEAFKGJHI",NA,"67","SUPAMT80126"
"1",1695401928071,"22/09/2023 16:58:48",1695387528071,-4,"22/09/2023 08:58:48",142246,8,"questionnaire-txxf",NA,31797233,9404750,NA,"complete","zjybmi","3TESA3PJ3798PZ8XW76AMT66Z4JMMW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","BCADKEJFIGH",NA,"41","SUPAMT91381"
"1",1695402190080,"22/09/2023 17:03:10",1695387790080,-4,"22/09/2023 09:03:10",142246,8,"questionnaire-txxf",NA,31797313,9404712,NA,"complete","gybsfz","3SKRO2GZ77QG3MM5I9AWNOQZCOT1KY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJK",NA,"97","SUPAMT83502"
"1",1695402725219,"22/09/2023 17:12:05",1695388325219,-4,"22/09/2023 09:12:05",142246,8,"questionnaire-txxf",NA,31797477,9404910,NA,"complete","lgvjad","3FPRZHYEP46QT0UW4H2MDQGDQ6L3VL","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","HIGJFKEADBC",NA,"59","SUPAMT70931"
"1",1695402867987,"22/09/2023 17:14:27",1695388467987,-4,"22/09/2023 09:14:27",142246,8,"questionnaire-txxf",NA,31797622,9404977,NA,"complete","tswwua","37C0GNLMHL23W2HSWY0QE7MQ0QC6DO","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","JKIAHBGCFDE",NA,"100","SUPAMT06732"
"1",1695403732319,"22/09/2023 17:28:52",1695389332319,-4,"22/09/2023 09:28:52",142246,8,"questionnaire-txxf",NA,31797807,9404922,NA,"complete","bidinb","31EUONYN212FFPNINFME1TEOLXAVO1","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x800","1280x651",NA,NA,0,"Life Happiness",2,"In","IJHKGAFBECD",NA,"26","SUPAMT00235"
"1",1695403910286,"22/09/2023 17:31:50",1695389510286,-4,"22/09/2023 09:31:50",142246,8,"questionnaire-txxf",NA,31797869,9405048,NA,"complete","qnnmgi","3TVSS0C0E7Z876SV96D9H53PRETWTY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","DECFBGAHKIJ",NA,"46","SUPAMT07686"
"1",1695407776880,"22/09/2023 18:36:16",1695389776880,-5,"22/09/2023 08:36:16",142246,8,"questionnaire-txxf",NA,31798007,9405056,NA,"complete","vbudgi","3YJ6NA41JHFO9UZPLQLAN58K0F9PJ1","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKA",NA,"62","SUPAMT05565"
