"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1695070245510,"18/09/2023 20:50:45",1695055845510,-4,"18/09/2023 12:50:45",142246,8,"questionnaire-79c5",NA,31723134,9376907,NA,"complete","txqrcg","3NJM2BJS42511GTJBY4O01VP9A5PCL","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","HIGJFKEADBC",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT92668"
"1",1695080887059,"18/09/2023 23:48:07",1695066487059,-4,"18/09/2023 15:48:07",142246,8,"questionnaire-79c5",NA,31723173,9376834,NA,"complete","ieqsbq","30X31N5D69PALTCDJ1CRPBACXDZSAJ","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x715",NA,NA,0,"ARI",2,"In","FGEHDICJBKA",NA,"Somewhat true","2","Certainly true","3","Somewhat true","2","Not true","1","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT06248"
"1",1695070421292,"18/09/2023 20:53:41",1695056021292,-4,"18/09/2023 12:53:41",142246,8,"questionnaire-79c5",NA,31723183,9376939,NA,"complete","kkueiz","3A1COHJ8NPU7CW5IB9GEP6XFXS88HR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1024x768","1024x651",NA,NA,0,"ARI",2,"In","IJHKGAFBECD",NA,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","SUPAMT33361"
"1",1695070247606,"18/09/2023 20:50:47",1695055847606,-4,"18/09/2023 12:50:47",142246,8,"questionnaire-79c5",NA,31723199,9376941,NA,"complete","adyhqs","3GS6S824SWWACTNBCARX86XX2WXNWE","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","JKIAHBGCFDE",NA,"Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT92026"
"1",1695071844020,"18/09/2023 21:17:24",1695057444020,-4,"18/09/2023 13:17:24",142246,8,"questionnaire-79c5",NA,31723684,9377069,NA,"complete","civrep","3QECW5O0KN0EUNDBD5Q0R5QC6W2T5K","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","KAJBICHDGEF",NA,"Not true","1","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","SUPAMT03784"
"1",1695073231127,"18/09/2023 21:40:31",1695058831127,-4,"18/09/2023 13:40:31",142246,8,"questionnaire-79c5",NA,31724149,9377177,NA,"complete","dxwzix","3AMYWKA6YHLU0Z8HM7E6P1YP46D6OJ","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1364x768","1364x619",NA,NA,0,"ARI",2,"In","ABKCJDIEHFG",NA,"Not true","1","Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT56747"
"1",1695077918984,"18/09/2023 22:58:38",1695063518984,-4,"18/09/2023 14:58:38",142246,8,"questionnaire-79c5",NA,31725183,9377401,NA,"complete","iejsmz","3M0NZ3JDP7XAGZMAJXFIDTRTRSLZ53","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","BCADKEJFIGH",NA,"Not true","1","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT45811"
"1",1695106003609,"19/09/2023 06:46:43",1695091603609,-4,"18/09/2023 22:46:43",142246,8,"questionnaire-79c5",NA,31726240,9380359,NA,"complete","hkdnml","31LVTDXBLD9FGX34131C8FLR426RLW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1364x619",NA,NA,0,"ARI",2,"In","CDBEAFKGJHI",NA,"Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT46039"
"1",1695088595945,"19/09/2023 01:56:35",1695070595945,-5,"18/09/2023 15:56:35",142246,8,"questionnaire-79c5",NA,31726321,9380744,NA,"complete","iymwci","3R9WASFE25F2IWFZP9SRZ5I6GN4ZFT","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1680x1050","1429x852",NA,NA,0,"ARI",2,"In","DECFBGAHKIJ",NA,"Somewhat true","2","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","SUPAMT05688"
"1",1695099315588,"19/09/2023 04:55:15",1695081315588,-5,"18/09/2023 18:55:15",142246,8,"questionnaire-79c5",NA,31727815,9382280,NA,"rejected - time limit reached","","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x715",NA,NA,0,"ARI",2,"In","EFDGCHBIAJK",NA,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","SUPAMT09500"
