"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations..I.understand.that.such.confidentiality.is.limited.if.evidence.of.wrongdoing.or.potential.harm.is.uncovered..In.such.cases.the.researcher.may.be.obliged.to.contact.relevant.statutory.bodies.agencies...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation.at.the.rate.of..9.per.hour...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that.I.am.aged.18.25..speak.fluent.English..and.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1730561230142,"02/11/2024 15:27:10",1730561230142,0,"02/11/2024 15:27:10",193496,6,"questionnaire-1tsk",NA,41067060,11991359,NA,"complete",NA,"672644bce37bd6749fce8f33","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x703",NA,NA,0,"Consent",12,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF78461"
"1",1730561306618,"02/11/2024 15:28:26",1730561306618,0,"02/11/2024 15:28:26",193496,6,"questionnaire-1tsk",NA,41067084,11991361,NA,"complete",NA,"672644ff7055d94eec3b5beb","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"Consent",12,"In","DECFBGAHKIJ",NA,"In","HM_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF31333"
"1",1730561319341,"02/11/2024 15:28:39",1730561319341,0,"02/11/2024 15:28:39",193496,6,"questionnaire-1tsk",NA,41067090,11991362,NA,"complete",NA,"67264518e02f6f9fd49979dd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 127.0.0.0","1280x800","1280x679",NA,NA,0,"Consent",12,"In","EFDGCHBIAJK",NA,"In","MH_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF53839"
"1",1730561325522,"02/11/2024 15:28:45",1730561325522,0,"02/11/2024 15:28:45",193496,6,"questionnaire-1tsk",NA,41067094,11991364,NA,"complete",NA,"6726450ee40698a3653098fd","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 129.0.0.0","1536x864","1536x743",NA,NA,0,"Consent",12,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","1","1","1","1","1","1","1","1","1","1","MDPRF94776"
"1",1730561334686,"02/11/2024 15:28:54",1730561334686,0,"02/11/2024 15:28:54",193496,6,"questionnaire-1tsk",NA,41067101,11991366,NA,"complete",NA,"67264529d11c23bd27adf08b","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"Consent",12,"In","GHFIEJDKCAB",NA,"In","HM_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF94864"
"1",1730561407025,"02/11/2024 15:30:07",1730561407025,0,"02/11/2024 15:30:07",193496,6,"questionnaire-1tsk",NA,41067132,11991370,NA,"complete",NA,"6726455c6a4607ae807dffb6","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x695",NA,NA,0,"Consent",12,"In","IJHKGAFBECD",NA,"In","MH_OCT","seq1","1","1","1","1","1","1","1","1","1","1","MDPRF18559"
"1",1730561444076,"02/11/2024 15:30:44",1730561444076,0,"02/11/2024 15:30:44",193496,6,"questionnaire-1tsk",NA,41067148,11991376,NA,"complete",NA,"67264599df20e389b865ceef","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x919",NA,NA,0,"Consent",12,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq2","1","1","1","1","1","1","1","1","1","1","MDPRF83676"
"1",1730561478847,"02/11/2024 15:31:18",1730561478847,0,"02/11/2024 15:31:18",193496,6,"questionnaire-1tsk",NA,41067167,11991380,NA,"complete",NA,"6726455aca448180ad2e569e","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"Consent",12,"In","JKIAHBGCFDE",NA,"In","HM_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF96217"
"1",1730561540759,"02/11/2024 15:32:20",1730561540759,0,"02/11/2024 15:32:20",193496,6,"questionnaire-1tsk",NA,41067188,11991382,NA,"complete",NA,"672645f5d38c511f3d1606af","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x730",NA,NA,0,"Consent",12,"In","KAJBICHDGEF",NA,"In","MH_OCT","seq4","1","1","1","1","1","1","1","1","1","1","MDPRF87060"
"1",1730561656511,"02/11/2024 15:34:16",1730561656511,0,"02/11/2024 15:34:16",193496,6,"questionnaire-1tsk",NA,41067244,11991393,NA,"complete",NA,"6726466b7d0f597e3930f2dc","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x911",NA,NA,0,"Consent",12,"In","BCADKEJFIGH",NA,"In","MH_OCT","seq5","1","1","1","1","1","1","1","1","1","1","MDPRF32902"
