"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"1",1730561646781,"02/11/2024 15:34:06",1730561646640,0,"02/11/2024 15:34:06",193496,6,"task-9qxs",NA,41067238,11991359,NA,"complete",NA,"672644bce37bd6749fce8f33","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x703",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF78461"
"2",1730561654294,"02/11/2024 15:34:14",1730561653560,0,"02/11/2024 15:34:13",193496,6,"task-9qxs",NA,41067238,11991359,NA,"complete",NA,"672644bce37bd6749fce8f33","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x703",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",6336.90000009537,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF78461"
"3",1730561655157,"02/11/2024 15:34:15",1730561655035,0,"02/11/2024 15:34:15",193496,6,"task-9qxs",NA,41067238,11991359,NA,"complete",NA,"672644bce37bd6749fce8f33","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x703",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",1467.89999985695,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF78461"
"4",1730561655288,"02/11/2024 15:34:15",1730561655038,0,"02/11/2024 15:34:15",193496,6,"task-9qxs",NA,41067238,11991359,NA,"complete",NA,"672644bce37bd6749fce8f33","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1536x864","1536x703",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","CDBEAFKGJHI",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"END TASK",NA,"","","",8398,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF78461"
"1",1730561719836,"02/11/2024 15:35:19",1730561720496,0,"02/11/2024 15:35:20",193496,6,"task-9qxs",NA,41067294,11991376,NA,"complete",NA,"67264599df20e389b865ceef","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x919",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq2","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF83676"
"2",1730561723999,"02/11/2024 15:35:23",1730561724692,0,"02/11/2024 15:35:24",193496,6,"task-9qxs",NA,41067294,11991376,NA,"complete",NA,"67264599df20e389b865ceef","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x919",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq2","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",4083,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF83676"
"3",1730561725653,"02/11/2024 15:35:25",1730561726340,0,"02/11/2024 15:35:26",193496,6,"task-9qxs",NA,41067294,11991376,NA,"complete",NA,"67264599df20e389b865ceef","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x919",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq2","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",1642.60000002384,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF83676"
"4",1730561725703,"02/11/2024 15:35:25",1730561726344,0,"02/11/2024 15:35:26",193496,6,"task-9qxs",NA,41067294,11991376,NA,"complete",NA,"67264599df20e389b865ceef","computer","Desktop or Laptop","Windows 10","Chrome 130.0.0.0","1920x1080","1920x919",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKEADBC",NA,"In","MH_OCT","seq2","Spreadsheet1","",NA,"END TASK",NA,"","","",5848,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF83676"
"1",1730561786057,"02/11/2024 15:36:26",1730561785325,0,"02/11/2024 15:36:25",193496,6,"task-9qxs",NA,41067322,11991364,NA,"complete",NA,"6726450ee40698a3653098fd","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 129.0.0.0","1536x864","766x743",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF94776"
"2",1730561796349,"02/11/2024 15:36:36",1730561795681,0,"02/11/2024 15:36:35",193496,6,"task-9qxs",NA,41067322,11991364,NA,"complete",NA,"6726450ee40698a3653098fd","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 129.0.0.0","1536x864","766x743",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKA",NA,"In","HM_OCT","seq3","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",9795.79999999993,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF94776"
