"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"3",1698681131630,"30/10/2023 15:52:11",1698681132286,0,"30/10/2023 15:52:12",149691,4,"task-9qxs",NA,32578637,9641074,NA,"rejected - time limit reached",NA,"653fce60cd09a4013ad16c4c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x571",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",1936.79999995232,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF03895"
"4",1698681131728,"30/10/2023 15:52:11",1698681132295,0,"30/10/2023 15:52:12",149691,4,"task-9qxs",NA,32578637,9641074,NA,"rejected - time limit reached",NA,"653fce60cd09a4013ad16c4c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x571",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",11280,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF03895"
"1",1698681264215,"30/10/2023 15:54:24",1698681263776,0,"30/10/2023 15:54:23",149691,4,"task-9qxs",NA,32578711,9641060,NA,"rejected - time limit reached",NA,"653fcd6668bdb96e5e71ff7e","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF78887"
"2",1698681286337,"30/10/2023 15:54:46",1698681285936,0,"30/10/2023 15:54:45",149691,4,"task-9qxs",NA,32578711,9641060,NA,"rejected - time limit reached",NA,"653fcd6668bdb96e5e71ff7e","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",21963.5,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF78887"
"3",1698681289173,"30/10/2023 15:54:49",1698681288773,0,"30/10/2023 15:54:48",149691,4,"task-9qxs",NA,32578711,9641060,NA,"rejected - time limit reached",NA,"653fcd6668bdb96e5e71ff7e","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",2833.40000009537,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF78887"
"4",1698681289239,"30/10/2023 15:54:49",1698681288775,0,"30/10/2023 15:54:48",149691,4,"task-9qxs",NA,32578711,9641060,NA,"rejected - time limit reached",NA,"653fcd6668bdb96e5e71ff7e","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADLEKFJGIH",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",24999,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF78887"
"1",1698682559936,"30/10/2023 16:15:59",1698682559944,0,"30/10/2023 16:15:59",149691,4,"task-9qxs",NA,32579479,9641065,NA,"complete",NA,"653fce302916cc1b2847a58a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF96180"
"2",1698682582994,"30/10/2023 16:16:22",1698682583053,0,"30/10/2023 16:16:23",149691,4,"task-9qxs",NA,32579479,9641065,NA,"complete",NA,"653fce302916cc1b2847a58a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In","Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",22988.5,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF96180"
"3",1698682585119,"30/10/2023 16:16:25",1698682585185,0,"30/10/2023 16:16:25",149691,4,"task-9qxs",NA,32579479,9641065,NA,"complete",NA,"653fce302916cc1b2847a58a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",2126.60000014305,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF96180"
"4",1698682585161,"30/10/2023 16:16:25",1698682585188,0,"30/10/2023 16:16:25",149691,4,"task-9qxs",NA,32579479,9641065,NA,"complete",NA,"653fce302916cc1b2847a58a","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x955",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","FGEHDICJBKAL",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",25244,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF96180"
"1",1698681272147,"30/10/2023 15:54:32",1698681276586,0,"30/10/2023 15:54:36",149691,4,"task-9qxs",NA,32578718,9641086,NA,"rejected - time limit reached",NA,"653fcec88c7b4c248d47a53c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJLK",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF73370"
"2",1698681279986,"30/10/2023 15:54:39",1698681284465,0,"30/10/2023 15:54:44",149691,4,"task-9qxs",NA,32578718,9641086,NA,"rejected - time limit reached",NA,"653fcec88c7b4c248d47a53c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJLK",NA,"In","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",7531.10000000149,NA,"Enter Key","Elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF73370"
"3",1698681282077,"30/10/2023 15:54:42",1698681286530,0,"30/10/2023 15:54:46",149691,4,"task-9qxs",NA,32578718,9641086,NA,"rejected - time limit reached",NA,"653fcec88c7b4c248d47a53c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJLK",NA,"In","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",2025.5,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF73370"
"4",1698681282281,"30/10/2023 15:54:42",1698681286539,0,"30/10/2023 15:54:46",149691,4,"task-9qxs",NA,32578718,9641086,NA,"rejected - time limit reached",NA,"653fcec88c7b4c248d47a53c","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1366x768","1366x657",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","EFDGCHBIAJLK",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",9953,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF73370"
"1",1698681551446,"30/10/2023 15:59:11",1698681551374,0,"30/10/2023 15:59:11",149691,4,"task-9qxs",NA,32578855,9641117,NA,"rejected - time limit reached",NA,"653fcf2b7bd560dad25174f7","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x963",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKELDACB",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF06491"
"2",1698681561295,"30/10/2023 15:59:21",1698681561288,0,"30/10/2023 15:59:21",149691,4,"task-9qxs",NA,32578855,9641117,NA,"rejected - time limit reached",NA,"653fcf2b7bd560dad25174f7","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x963",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKELDACB",NA,"In","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",9800.5,NA,"Enter Key","cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF06491"
"3",1698681563684,"30/10/2023 15:59:23",1698681563654,0,"30/10/2023 15:59:23",149691,4,"task-9qxs",NA,32578855,9641117,NA,"rejected - time limit reached",NA,"653fcf2b7bd560dad25174f7","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x963",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKELDACB",NA,"In","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",2351.80000000075,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF06491"
"4",1698681563738,"30/10/2023 15:59:23",1698681563657,0,"30/10/2023 15:59:23",149691,4,"task-9qxs",NA,32578855,9641117,NA,"rejected - time limit reached",NA,"653fcf2b7bd560dad25174f7","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1920x1080","1920x963",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","HIGJFKELDACB",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",12283,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF06491"
"1",1698681575999,"30/10/2023 15:59:35",1698681575862,0,"30/10/2023 15:59:35",149691,4,"task-9qxs",NA,32578866,9641138,NA,"rejected - time limit reached",NA,"653fd05aadcae8ca019955ca","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1263x710",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF31218"
"2",1698681584306,"30/10/2023 15:59:44",1698681584216,0,"30/10/2023 15:59:44",149691,4,"task-9qxs",NA,32578866,9641138,NA,"rejected - time limit reached",NA,"653fd05aadcae8ca019955ca","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1263x710",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",8099,NA,"Enter Key","snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF31218"
"3",1698681589270,"30/10/2023 15:59:49",1698681589174,0,"30/10/2023 15:59:49",149691,4,"task-9qxs",NA,32578866,9641138,NA,"rejected - time limit reached",NA,"653fd05aadcae8ca019955ca","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1263x710",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet1","Spreadsheet1",2,"",1,"Screen 1","Zone2","response_text_entry",4946,NA,"Enter Key","duck",1,1,0,0,NA,NA,NA,NA,1,"task","i_duck.png","duck","MDPRF31218"
"4",1698681591349,"30/10/2023 15:59:51",1698681589180,0,"30/10/2023 15:59:49",149691,4,"task-9qxs",NA,32578866,9641138,NA,"rejected - time limit reached",NA,"653fd05aadcae8ca019955ca","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1263x710",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","IJHKGLFAEBDC",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",13318,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF31218"
"1",1698681697710,"30/10/2023 16:01:37",1698681697646,0,"30/10/2023 16:01:37",149691,4,"task-9qxs",NA,32578914,9641110,NA,"rejected - time limit reached",NA,"653fcfb830b9503ea6848ed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF30844"
"2",1698681707033,"30/10/2023 16:01:47",1698681706951,0,"30/10/2023 16:01:46",149691,4,"task-9qxs",NA,32578914,9641110,NA,"rejected - time limit reached",NA,"653fcfb830b9503ea6848ed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",9056.20000001788,NA,"Enter Key","Butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF30844"
"3",1698681711520,"30/10/2023 16:01:51",1698681711425,0,"30/10/2023 16:01:51",149691,4,"task-9qxs",NA,32578914,9641110,NA,"rejected - time limit reached",NA,"653fcfb830b9503ea6848ed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",4463.70000001788,NA,"Enter Key","Elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF30844"
"4",1698681711580,"30/10/2023 16:01:51",1698681711430,0,"30/10/2023 16:01:51",149691,4,"task-9qxs",NA,32578914,9641110,NA,"rejected - time limit reached",NA,"653fcfb830b9503ea6848ed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x783",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","GHFIEJDKCLBA",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",13784,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF30844"
"1",1698682001873,"30/10/2023 16:06:41",1698682001740,0,"30/10/2023 16:06:41",149691,4,"task-9qxs",NA,32579110,9641174,NA,"rejected - time limit reached",NA,"653fd1c4767713c52c8eeed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x815",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF22558"
"2",1698682009750,"30/10/2023 16:06:49",1698682009609,0,"30/10/2023 16:06:49",149691,4,"task-9qxs",NA,32579110,9641174,NA,"rejected - time limit reached",NA,"653fd1c4767713c52c8eeed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x815",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",7663.80000001192,NA,"Enter Key","Snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF22558"
"3",1698682014860,"30/10/2023 16:06:54",1698682014777,0,"30/10/2023 16:06:54",149691,4,"task-9qxs",NA,32579110,9641174,NA,"rejected - time limit reached",NA,"653fd1c4767713c52c8eeed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x815",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",5157.20000000298,NA,"Enter Key","Cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF22558"
"4",1698682014921,"30/10/2023 16:06:54",1698682014783,0,"30/10/2023 16:06:54",149691,4,"task-9qxs",NA,32579110,9641174,NA,"rejected - time limit reached",NA,"653fd1c4767713c52c8eeed6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 118.0.0.0","1440x900","1440x815",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",13043,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF22558"
"1",1698682014297,"30/10/2023 16:06:54",1698682013449,0,"30/10/2023 16:06:53",149691,4,"task-9qxs",NA,32579124,9641147,NA,"rejected - time limit reached",NA,"653fd086f182125c80892582","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1366x768","1358x654",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","JKILHAGBFCED",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF98849"
"2",1698682024809,"30/10/2023 16:07:04",1698682023961,0,"30/10/2023 16:07:03",149691,4,"task-9qxs",NA,32579124,9641147,NA,"rejected - time limit reached",NA,"653fd086f182125c80892582","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1366x768","1358x654",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","JKILHAGBFCED",NA,"In","Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",10099.6000001431,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF98849"
"3",1698682028935,"30/10/2023 16:07:08",1698682028105,0,"30/10/2023 16:07:08",149691,4,"task-9qxs",NA,32579124,9641147,NA,"rejected - time limit reached",NA,"653fd086f182125c80892582","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1366x768","1358x654",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","JKILHAGBFCED",NA,"In","Spreadsheet1","Spreadsheet1",6,"",1,"Screen 1","Zone2","response_text_entry",4086.80000019073,NA,"Enter Key","elephant",1,1,0,0,NA,NA,NA,NA,1,"task","i_elephant.png","elephant","MDPRF98849"
"4",1698682029024,"30/10/2023 16:07:09",1698682028138,0,"30/10/2023 16:07:08",149691,4,"task-9qxs",NA,32579124,9641147,NA,"rejected - time limit reached",NA,"653fd086f182125c80892582","computer","Desktop or Laptop","Windows 10","Edge 117.0.2045.60","1366x768","1358x654",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","JKILHAGBFCED",NA,"In","Spreadsheet1","",NA,"END TASK",NA,"","","",14689,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF98849"
"1",1698682152143,"30/10/2023 16:09:12",1698682152078,0,"30/10/2023 16:09:12",149691,4,"task-9qxs",NA,32579234,9641169,NA,"rejected - time limit reached",NA,"653fd174549d4a415d2b04b4","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","1440x820",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","LAKBJCIDHEGF",NA,"In","Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF29232"
