"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1707931137564,"14/02/2024 17:18:57",1707931137564,0,"14/02/2024 17:18:57",163173,5,"questionnaire-tzdp",NA,35150081,10387660,NA,"complete",NA,"65ccf5aec925b33add15f64a","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"In",3,"1","2","MDPRF53772"
"1",1707931139738,"14/02/2024 17:18:59",1707931139738,0,"14/02/2024 17:18:59",163173,5,"questionnaire-tzdp",NA,35150086,10387662,NA,"complete",NA,"65ccf5d589fa91e9c82510cc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x779",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"In",2,"1","2","MDPRF05446"
"1",1707931155897,"14/02/2024 17:19:15",1707931155897,0,"14/02/2024 17:19:15",163173,5,"questionnaire-tzdp",NA,35150109,10387663,NA,"complete",NA,"65ccf5e94f2075e81ebd114e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1600x1000","1600x912",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"In",3,"1","2","MDPRF96993"
"1",1707931166569,"14/02/2024 17:19:26",1707931166569,0,"14/02/2024 17:19:26",163173,5,"questionnaire-tzdp",NA,35150125,10387669,NA,"complete",NA,"65ccf5c37b5daf953908dda9","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"In",1,"1","2","MDPRF66727"
"1",1707931249648,"14/02/2024 17:20:49",1707931249648,0,"14/02/2024 17:20:49",163173,5,"questionnaire-tzdp",NA,35150210,10387681,NA,"complete",NA,"65ccf64655a9a46df1623885","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1185x728",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"In",1,"1","2","MDPRF48256"
"1",1707931286938,"14/02/2024 17:21:26",1707931286938,0,"14/02/2024 17:21:26",163173,5,"questionnaire-tzdp",NA,35150272,10387698,NA,"complete",NA,"65ccf677d89ea75f23a6f20f","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"In",3,"1","2","MDPRF62264"
"1",1707931314994,"14/02/2024 17:21:54",1707931314994,0,"14/02/2024 17:21:54",163173,5,"questionnaire-tzdp",NA,35150303,10387699,NA,"complete",NA,"65ccf65e82d02149b515f608","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 17.0","1440x900","960x546",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"In",2,"1","2","MDPRF54733"
"1",1707931325712,"14/02/2024 17:22:05",1707913325712,-5,"14/02/2024 07:22:05",163173,5,"questionnaire-tzdp",NA,35150318,10387701,NA,"complete",NA,"65ccf68189fa91e9c82510f1","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1536x864","1536x739",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",NA,"In",2,"1","2","MDPRF94910"
"1",1707931446500,"14/02/2024 17:24:06",1707931446500,0,"14/02/2024 17:24:06",163173,5,"questionnaire-tzdp",NA,35150485,10387725,NA,"complete",NA,"65ccf702018a2f91fd4de631","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x825",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"In",4,"1","2","MDPRF36650"
"1",1707931536356,"14/02/2024 17:25:36",1707931536356,0,"14/02/2024 17:25:36",163173,5,"questionnaire-tzdp",NA,35150607,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",NA,"In",2,"1","2","MDPRF15001"
"1",1707931561712,"14/02/2024 17:26:01",1707931561712,0,"14/02/2024 17:26:01",163173,5,"questionnaire-tzdp",NA,35150640,10387748,NA,"complete",NA,"65ccf73ff4a81c34530b9eac","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x633",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"In",1,"1","2","MDPRF71024"
"1",1707931567591,"14/02/2024 17:26:07",1707931567591,0,"14/02/2024 17:26:07",163173,5,"questionnaire-tzdp",NA,35150642,10387761,NA,"complete",NA,"65ccf78ccc80b4427ad4af6b","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x791",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"In",3,"1","2","MDPRF84633"
"1",1707931583108,"14/02/2024 17:26:23",1707931583108,0,"14/02/2024 17:26:23",163173,5,"questionnaire-tzdp",NA,35150662,10387759,NA,"complete",NA,"65ccf78189fa91e9c8251131","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1",2,"In","LAKBJCIDHEGF",NA,"In",3,"1","2","MDPRF32156"
"1",1707931620016,"14/02/2024 17:27:00",1707931620016,0,"14/02/2024 17:27:00",163173,5,"questionnaire-tzdp",NA,35150716,10387753,NA,"complete",NA,"65ccf76e377ad148b585a8c3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"In",2,"1","2","MDPRF88210"
"1",1707931637389,"14/02/2024 17:27:17",1707931637389,0,"14/02/2024 17:27:17",163173,5,"questionnaire-tzdp",NA,35150747,10387755,NA,"complete",NA,"65ccf787f963d201475b6eff","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"In",4,"1","2","MDPRF06162"
"1",1707932384247,"14/02/2024 17:39:44",1707935984247,1,"14/02/2024 19:39:44",163173,5,"questionnaire-tzdp",NA,35151707,10387747,NA,"complete",NA,"65ccf6917c8fa41cb1d4af26","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1920x1243","1110x877",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCLBA",NA,"In",3,"1","2","MDPRF00664"
"1",1707931599701,"14/02/2024 17:26:39",1707902799701,-8,"14/02/2024 01:26:39",163173,5,"questionnaire-tzdp",NA,35150672,10387764,NA,"complete",NA,"65ccf797edaff64f4e89c51b","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1728x1117","1676x866",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"In",4,"1","2","MDPRF06732"
