"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things..Quantised","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited.Quantised","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t.Quantised","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people..Quantised","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything..Quantised","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable.Quantised","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future.Quantised","Multiple.Choice.Grid.object.3.I.felt.enthusiastic","Multiple.Choice.Grid.object.3.I.felt.enthusiastic..Quantised","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything..Quantised","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring.Quantised","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me.Quantised","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion..Quantised","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do.Quantised","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose.Quantised","Score..ASA.Score","Random_ID"
"1",1707931223719,"14/02/2024 17:20:23",1707931223719,0,"14/02/2024 17:20:23",163173,5,"questionnaire-nsch",NA,35150179,10387663,NA,"complete",NA,"65ccf5e94f2075e81ebd114e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1600x1000","1600x912",NA,NA,0,"ASA (Clone)",1,"In","ABLCKDJEIFHG",NA,"In",3,"Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","Never","1","14","MDPRF96993"
"1",1707931231663,"14/02/2024 17:20:31",1707931231663,0,"14/02/2024 17:20:31",163173,5,"questionnaire-nsch",NA,35150188,10387622,NA,"complete",NA,"65ccf525ad4f6da6f1dc487c","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1366x768","1366x635",NA,NA,0,"ASA (Clone)",1,"In","IJHKGLFAEBDC",NA,"In",1,"Sometimes","2","Never","1","Never","1","Never","1","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Often","3","Never","1","Never","1","Sometimes","2","8","MDPRF56705"
"1",1707931387446,"14/02/2024 17:23:07",1707931387446,0,"14/02/2024 17:23:07",163173,5,"questionnaire-nsch",NA,35150416,10387564,NA,"complete",NA,"65ccf48b8a8e9c826f9c5ecf","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x929",NA,NA,0,"ASA (Clone)",1,"In","FGEHDICJBKAL",NA,"In",4,"Always","4","Always","4","Always","4","Always","4","Always","4","Always","4","Always","4","Never","1","Always","4","Often","3","Never","1","Sometimes","2","Always","4","Never","1","30","MDPRF10666"
"1",1707931545170,"14/02/2024 17:25:45",1707931545170,0,"14/02/2024 17:25:45",163173,5,"questionnaire-nsch",NA,35150620,10387669,NA,"complete",NA,"65ccf5c37b5daf953908dda9","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"ASA (Clone)",1,"In","BCADLEKFJGIH",NA,"In",1,"Sometimes","2","Never","1","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Never","1","Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Never","1","14","MDPRF66727"
"1",1707931559662,"14/02/2024 17:25:59",1707931559662,0,"14/02/2024 17:25:59",163173,5,"questionnaire-nsch",NA,35150633,10387604,NA,"complete",NA,"65ccf509ab1e0c50343ca407","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"ASA (Clone)",1,"In","GHFIEJDKCLBA",NA,"In",1,"Often","3","Often","3","Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Never","1","Sometimes","2","Never","1","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","15","MDPRF41746"
"1",1707931595447,"14/02/2024 17:26:35",1707931595447,0,"14/02/2024 17:26:35",163173,5,"questionnaire-nsch",NA,35150676,10387761,NA,"complete",NA,"65ccf78ccc80b4427ad4af6b","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x791",NA,NA,0,"ASA (Clone)",1,"In","KLJAIBHCGDFE",NA,"In",3,"Sometimes","2","Sometimes","2","Never","1","Often","3","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Often","3","12","MDPRF84633"
"1",1707931596575,"14/02/2024 17:26:36",1707931596575,0,"14/02/2024 17:26:36",163173,5,"questionnaire-nsch",NA,35150678,10387759,NA,"complete",NA,"65ccf78189fa91e9c8251131","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"ASA (Clone)",1,"In","LAKBJCIDHEGF",NA,"In",3,"Sometimes","2","Never","1","Never","1","Sometimes","2","Never","1","Never","1","Never","1","Often","3","Sometimes","2","Never","1","Sometimes","2","Often","3","Sometimes","2","Often","3","11","MDPRF32156"
"1",1707931707441,"14/02/2024 17:28:27",1707931707441,0,"14/02/2024 17:28:27",163173,5,"questionnaire-nsch",NA,35150839,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"ASA (Clone)",1,"In","IJHKGLFAEBDC",NA,"In",2,"Always","4","Sometimes","2","Often","3","Never","1","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Always","4","Often","3","Often","3","Never","1","Sometimes","2","Often","3","21","MDPRF15001"
"1",1707931711201,"14/02/2024 17:28:31",1707931711201,0,"14/02/2024 17:28:31",163173,5,"questionnaire-nsch",NA,35150848,10387748,NA,"complete",NA,"65ccf73ff4a81c34530b9eac","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x633",NA,NA,0,"ASA (Clone)",1,"In","JKILHAGBFCED",NA,"In",1,"Often","3","Often","3","Often","3","Sometimes","2","Often","3","Often","3","Often","3","Never","1","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","21","MDPRF71024"
"1",1707931729713,"14/02/2024 17:28:49",1707931729713,0,"14/02/2024 17:28:49",163173,5,"questionnaire-nsch",NA,35150867,10387725,NA,"complete",NA,"65ccf702018a2f91fd4de631","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x825",NA,NA,0,"ASA (Clone)",1,"In","HIGJFKELDACB",NA,"In",4,"Sometimes","2","Often","3","Sometimes","2","Often","3","Often","3","Sometimes","2","Sometimes","2","Often","3","Often","3","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Often","3","21","MDPRF36650"
