"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Slider_LH.object.2.Value","Random_ID"
"1",1707931531914,"14/02/2024 17:25:31",1707931531914,0,"14/02/2024 17:25:31",163173,5,"questionnaire-txxf",NA,35150599,10387662,NA,"complete",NA,"65ccf5d589fa91e9c82510cc","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x779",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"In",2,"44","MDPRF05446"
"1",1707931552907,"14/02/2024 17:25:52",1707931552907,0,"14/02/2024 17:25:52",163173,5,"questionnaire-txxf",NA,35150625,10387725,NA,"complete",NA,"65ccf702018a2f91fd4de631","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x960","1536x825",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In",4,"59","MDPRF36650"
"1",1707931694121,"14/02/2024 17:28:14",1707931694121,0,"14/02/2024 17:28:14",163173,5,"questionnaire-txxf",NA,35150822,10387752,NA,"complete",NA,"65ccf73689fa91e9c8251121","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1371x749",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"In",2,"26","MDPRF15001"
"1",1707931693664,"14/02/2024 17:28:13",1707931693664,0,"14/02/2024 17:28:13",163173,5,"questionnaire-txxf",NA,35150823,10387681,NA,"complete",NA,"65ccf64655a9a46df1623885","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1185x728",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"In",1,"22","MDPRF48256"
"1",1707931706814,"14/02/2024 17:28:26",1707931706814,0,"14/02/2024 17:28:26",163173,5,"questionnaire-txxf",NA,35150840,10387755,NA,"complete",NA,"65ccf787f963d201475b6eff","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",NA,"In",4,"85","MDPRF06162"
"1",1707931742208,"14/02/2024 17:29:02",1707931742208,0,"14/02/2024 17:29:02",163173,5,"questionnaire-txxf",NA,35150884,10387663,NA,"complete",NA,"65ccf5e94f2075e81ebd114e","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1600x1000","1600x912",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"In",3,"-29","MDPRF96993"
"1",1707931812700,"14/02/2024 17:30:12",1707931812700,0,"14/02/2024 17:30:12",163173,5,"questionnaire-txxf",NA,35150964,10387660,NA,"complete",NA,"65ccf5aec925b33add15f64a","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In",3,"-31","MDPRF53772"
"1",1707931872184,"14/02/2024 17:31:12",1707931872184,0,"14/02/2024 17:31:12",163173,5,"questionnaire-txxf",NA,35151052,10387748,NA,"complete",NA,"65ccf73ff4a81c34530b9eac","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x633",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"In",1,"-48","MDPRF71024"
"1",1707931896957,"14/02/2024 17:31:36",1707931896957,0,"14/02/2024 17:31:36",163173,5,"questionnaire-txxf",NA,35151086,10387669,NA,"complete",NA,"65ccf5c37b5daf953908dda9","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1280x720","1280x551",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"In",1,"45","MDPRF66727"
"1",1707932122009,"14/02/2024 17:35:22",1707932122009,0,"14/02/2024 17:35:22",163173,5,"questionnaire-txxf",NA,35151370,10387753,NA,"complete",NA,"65ccf76e377ad148b585a8c3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"In",2,"21","MDPRF88210"
"1",1707932152083,"14/02/2024 17:35:52",1707932152083,0,"14/02/2024 17:35:52",163173,5,"questionnaire-txxf",NA,35151411,10387759,NA,"complete",NA,"65ccf78189fa91e9c8251131","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x730",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"In",3,"69","MDPRF32156"
"1",1707933020079,"14/02/2024 17:50:20",1707936620079,1,"14/02/2024 19:50:20",163173,5,"questionnaire-txxf",NA,35152284,10387747,NA,"complete",NA,"65ccf6917c8fa41cb1d4af26","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 120.0.0.0","1920x1243","1110x877",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In",3,"100","MDPRF00664"
"1",1707931740294,"14/02/2024 17:29:00",1707931740294,0,"14/02/2024 17:29:00",163173,5,"questionnaire-txxf",NA,35150882,10387794,NA,"complete",NA,"65ccf8238ddcf415d9208f97","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x911",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",NA,"In",1,"-89","MDPRF42249"
"1",1707931874314,"14/02/2024 17:31:14",1707931874314,0,"14/02/2024 17:31:14",163173,5,"questionnaire-txxf",NA,35151059,10387797,NA,"complete",NA,"65ccf83047b5641587110d69","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x919",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"In",1,"-35","MDPRF20908"
"1",1707931920188,"14/02/2024 17:32:00",1707931920188,0,"14/02/2024 17:32:00",163173,5,"questionnaire-txxf",NA,35151113,10387778,NA,"complete",NA,"65ccf7dddd4d3731bca8b7ed","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"In",2,"-19","MDPRF27407"
