"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"7",1707929793874,"14/02/2024 16:56:33",1707929793874,0,"14/02/2024 16:56:33",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","2",4663.5,14238.5,14247.6,4663.5,14238.5,14247.6,1,4663.5,9584.09999999996,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"MDPRF63569"
"8",1707929793875,"14/02/2024 16:56:33",1707929793875,0,"14/02/2024 16:56:33",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","6",8306.6,14238.5,14248.4,8306.6,14238.5,14248.4,1,8306.6,5941.8,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"MDPRF63569"
"9",1707929793876,"14/02/2024 16:56:33",1707929793876,0,"14/02/2024 16:56:33",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","8",12434.2,14238.5,14249.1,12434.2,14238.5,14249.1,1,12434.2,1814.89999999995,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"MDPRF63569"
"10",1707929811613,"14/02/2024 16:56:51",1707929811613,0,"14/02/2024 16:56:51",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",17747.6,17731.4,17747.6,17747.6,17731.4,17747.6,1,17747.6,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"MDPRF63569"
"11",1707929811617,"14/02/2024 16:56:51",1707929811617,0,"14/02/2024 16:56:51",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",9491.6,17731.4,17748.2,9491.6,17731.4,17748.2,1,9491.6,8256.60000000001,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"MDPRF63569"
"12",1707929811618,"14/02/2024 16:56:51",1707929811618,0,"14/02/2024 16:56:51",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","2",13937.9,17731.4,17748.2,13937.9,17731.4,17748.2,1,13937.9,3810.3,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"MDPRF63569"
"13",1707929811619,"14/02/2024 16:56:51",1707929811619,0,"14/02/2024 16:56:51",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","5",15274.5,17731.4,17748.2,15274.5,17731.4,17748.2,1,15274.5,2473.7,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"MDPRF63569"
"14",1707929811625,"14/02/2024 16:56:51",1707929811625,0,"14/02/2024 16:56:51",163173,5,"questionnaire-uu2n",NA,35148272,10387256,NA,"complete",NA,"65ccef2df33e7edc2ba99fc6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x813",NA,NA,0,"BIQ (Charlotte)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF63569"
"1",1707930420621,"14/02/2024 17:07:00",1707930420621,0,"14/02/2024 17:07:00",163173,5,"questionnaire-uu2n",NA,35149205,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFLGKHJI",NA,"In",4,"Spreadsheet1","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"MDPRF73191"
"2",1707930455034,"14/02/2024 17:07:35",1707930455034,0,"14/02/2024 17:07:35",163173,5,"questionnaire-uu2n",NA,35149205,10387326,NA,"complete",NA,"65ccf0a22a3ceca2b3cf1375","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFLGKHJI",NA,"In",4,"Spreadsheet1","Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",34430.4019999993,34421.502,34430.4019999993,34430.4019999993,34421.502,34430.4019999993,1,34430.4019999993,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"MDPRF73191"
