"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.vjic","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1707991815252,"15/02/2024 10:10:15",1707991815252,0,"15/02/2024 10:10:15",163173,5,"questionnaire-79c5",NA,35167905,10392237,NA,"complete",NA,"65cde1391b226940b7953913","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x695",NA,NA,0,"ARI",2,"In","CDBEAFLGKHJI",NA,"In",3,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF79831"
"1",1707992012538,"15/02/2024 10:13:32",1707992012538,0,"15/02/2024 10:13:32",163173,5,"questionnaire-79c5",NA,35168050,10392283,NA,"complete",NA,"65cde243ec9cc1ea25fb3407","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1920x1080","1920x929",NA,NA,0,"ARI",2,"In","FGEHDICJBKAL",NA,"In",1,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF41593"
"1",1707992082472,"15/02/2024 10:14:42",1707992082472,0,"15/02/2024 10:14:42",163173,5,"questionnaire-79c5",NA,35168100,10392268,NA,"complete",NA,"65cde1d8bb3de642ad44386a","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x703",NA,NA,0,"ARI",2,"In","EFDGCHBIAJLK",NA,"In",4,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF72552"
"1",1707992247808,"15/02/2024 10:17:27",1707992247808,0,"15/02/2024 10:17:27",163173,5,"questionnaire-79c5",NA,35168195,10392261,NA,"complete",NA,"65cde156c44009fa1760869d","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 121.0.0.0","1440x900","1440x672",NA,NA,0,"ARI",2,"In","DECFBGAHLIKJ",NA,"In",3,"Certainly true","3","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","MDPRF99282"
"1",1707992425218,"15/02/2024 10:20:25",1707992425218,0,"15/02/2024 10:20:25",163173,5,"questionnaire-79c5",NA,35168280,10392311,NA,"complete",NA,"65cde2f496c07670987eaeee","computer","Desktop or Laptop","Mac OS 10.15","Firefox 122.0","1440x900","1426x720",NA,NA,0,"ARI",2,"In","GHFIEJDKCLBA",NA,"In",2,"Somewhat true","2","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Somewhat true","2","MDPRF75167"
"1",1707992823604,"15/02/2024 10:27:03",1707992823604,0,"15/02/2024 10:27:03",163173,5,"questionnaire-79c5",NA,35168516,10392444,NA,"complete",NA,"65cde6614d80fc16af4c8b4a","computer","Desktop or Laptop","Windows 10","Edge 120.0.0.0","1536x960","1528x812",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"In",1,"Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF02973"
"1",1707992829148,"15/02/2024 10:27:09",1707992829148,0,"15/02/2024 10:27:09",163173,5,"questionnaire-79c5",NA,35168522,10392426,NA,"complete",NA,"65cde5a5c7c4e2221f40f103","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.4","1440x900","1440x820",NA,NA,0,"ARI",2,"In","HIGJFKELDACB",NA,"In",4,"Certainly true","3","Certainly true","3","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","MDPRF05565"
"1",1707992832894,"15/02/2024 10:27:12",1707992832894,0,"15/02/2024 10:27:12",163173,5,"questionnaire-79c5",NA,35168524,10392446,NA,"complete",NA,"65cde6767436a9aaea2a78ab","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1920x1080","1920x919",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"In",3,"Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","Not true","1","MDPRF42986"
"1",1707992893100,"15/02/2024 10:28:13",1707992893100,0,"15/02/2024 10:28:13",163173,5,"questionnaire-79c5",NA,35168566,10392435,NA,"complete",NA,"65cde6393fb41154eae8b36a","computer","Desktop or Laptop","Windows 10","Firefox 122.0","1920x1080","1908x921",NA,NA,0,"ARI",2,"In","IJHKGLFAEBDC",NA,"In",1,"Certainly true","3","Somewhat true","2","Somewhat true","2","Certainly true","3","Certainly true","3","Somewhat true","2","Somewhat true","2","MDPRF22046"
"1",1707993056494,"15/02/2024 10:30:56",1707993056494,0,"15/02/2024 10:30:56",163173,5,"questionnaire-79c5",NA,35168699,10392489,NA,"complete",NA,"65cde752c4ada29166ff6a74","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1536x864","1536x695",NA,NA,0,"ARI",2,"In","LAKBJCIDHEGF",NA,"In",2,"Somewhat true","2","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","MDPRF73286"
