"","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"38","APPROVED","Not Applicable","2024-02-15T10:58:17.654000Z","2024-02-15T11:43:21.904000Z","2024-02-15T15:53:09.258000Z","2024-02-15T11:43:22.415533Z",2705,"C1FKYHSS",129,"Chinese, English","23","Male","Asian","China","United Kingdom","China","Chinese","Yes","Unemployed (and job seeking)","MDPRF56785"
"39","APPROVED","Not Applicable","2024-02-15T12:45:19.945000Z","2024-02-15T13:41:37.216000Z","2024-02-15T15:45:55.086000Z","2024-02-15T13:41:38.098059Z",3378,"C1FKYHSS",292,"English, Vietnamese","24","Male","Asian","Vietnam","United States","United States","Vietnamese","Yes","Full-Time","MDPRF20625"
"40","APPROVED","Not Applicable","2024-02-16T09:31:41.035000Z","2024-02-16T10:04:16.961000Z","2024-02-16T11:34:43.638000Z","2024-02-16T10:04:17.902342Z",1956,"C1FKYHSS",178,"English","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","MDPRF16300"
"41","APPROVED","Not Applicable","2024-02-14T16:43:54.388000Z","2024-02-14T17:35:29.903000Z","2024-02-15T10:22:01.531000Z","2024-02-14T17:35:30.634353Z",3096,"C1FKYHSS",615,"English, Nepali","21","Female","Asian","Nepal","United Kingdom","Nepal","Nepali","Yes","Unemployed (and job seeking)","MDPRF13138"
"42","APPROVED","Not Applicable","2024-02-14T16:49:54.165000Z","2024-02-14T17:27:34.022000Z","2024-02-15T10:19:47.911000Z","2024-02-14T17:27:34.647626Z",2260,"C1FKYHSS",564,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","MDPRF63569"
"43","APPROVED","Not Applicable","2024-02-14T16:56:02.534000Z","2024-02-14T17:50:08.745000Z","2024-02-15T10:17:17.443000Z","2024-02-14T17:50:09.506985Z",3247,"C1FKYHSS",259,"English","24","Female","DATA_EXPIRED","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","MDPRF73191"
"44","APPROVED","Not Applicable","2024-02-14T16:57:04.361000Z","2024-02-14T17:43:17.375000Z","2024-02-15T10:22:01.838000Z","2024-02-14T17:43:17.872555Z",2774,"C1FKYHSS",248,"English","24","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","MDPRF12765"
"45","APPROVED","Not Applicable","2024-02-14T16:58:57.636000Z","2024-02-14T17:38:58.791000Z","2024-02-15T10:19:48.254000Z","2024-02-14T17:38:59.438830Z",2402,"C1FKYHSS",245,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","MDPRF79833"
"46","APPROVED","Not Applicable","2024-02-14T17:01:14.235000Z","2024-02-14T17:47:56.027000Z","2024-02-15T10:17:17.789000Z","2024-02-14T17:47:56.758466Z",2802,"C1FKYHSS",531,"English","21","Female","DATA_EXPIRED","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF47263"
"47","APPROVED","Not Applicable","2024-02-14T17:02:23.658000Z","2024-02-14T17:38:54.744000Z","2024-02-15T10:17:17.997000Z","2024-02-14T17:38:55.747241Z",2192,"C1FKYHSS",77,"English","25","Female","White","Canada","United Kingdom","Canada","English","No","Due to start a new job within the next month","MDPRF99152"
"48","APPROVED","Not Applicable","2024-02-14T17:07:37.679000Z","2024-02-14T17:47:56.348000Z","2024-02-15T10:22:02.035000Z","2024-02-14T17:47:56.928442Z",2419,"C1FKYHSS",407,"English, Urdu","23","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","MDPRF36184"
"49","APPROVED","Not Applicable","2024-02-14T17:09:09.445000Z","2024-02-14T17:46:58.500000Z","2024-02-15T10:10:51.294000Z","2024-02-14T17:46:59.017397Z",2270,"C1FKYHSS",365,"English, Nepali","24","Female","Asian","Nepal","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF88213"
"50","APPROVED","Not Applicable","2024-02-14T17:09:49.767000Z","2024-02-14T17:45:34.205000Z","2024-02-15T10:10:51.890000Z","2024-02-14T17:45:35.037326Z",2145,"C1FKYHSS",1560,"French, English","22","Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF13097"
"51","APPROVED","Not Applicable","2024-02-14T17:16:45.720000Z","2024-02-14T17:46:02.188000Z","2024-02-15T10:12:48.631000Z","2024-02-14T17:46:02.765946Z",1757,"C1FKYHSS",262,"English","22","Female","DATA_EXPIRED","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","MDPRF36379"
"52","APPROVED","Not Applicable","2024-02-14T17:20:14.073000Z","2024-02-14T18:00:30.539000Z","2024-02-15T10:17:18.207000Z","2024-02-14T18:00:30.933854Z",2417,"C1FKYHSS",2,"English, Welsh","23","Female","White","United Kingdom","United Kingdom","United Kingdom","Welsh","No","Full-Time","MDPRF48256"
