"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695752971929,"26/09/2023 18:29:31",1695738571929,-4,"26/09/2023 10:29:31",144339,3,"questionnaire-qxhw",NA,31880215,9425567,NA,"complete","umvfhu","33C7UALJVRXW8LK49KDTXJH8H98811","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"LH","1-0","1","SUPAMT77733"
"1",1695754549810,"26/09/2023 18:55:49",1695740149810,-4,"26/09/2023 10:55:49",144339,3,"questionnaire-qxhw",NA,31881039,9425561,NA,"complete","dxbrrk","3TEM0PF1QBW8IRVDU9K956CZN8X0DU","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"HL","1-0","1","SUPAMT02660"
"1",1695755066990,"26/09/2023 19:04:26",1695740666990,-4,"26/09/2023 11:04:26",144339,3,"questionnaire-qxhw",NA,31881260,9426091,NA,"complete","swcbyt","3E337GFOLF7EF7XBX5NFM3B98T2NGG","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","KAJBICHDGEF",NA,"LH","0-2","3","SUPAMT25545"
"1",1695777411145,"27/09/2023 01:16:51",1695763011145,-4,"26/09/2023 17:16:51",144339,3,"questionnaire-qxhw",NA,31881657,9426275,NA,"complete","rkczlc","3PB5A5BD015PCM5OHY6QQ6PJ8F1G74","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"HL","1-0","1","SUPAMT36750"
"1",1695759625866,"26/09/2023 20:20:25",1695741625866,-5,"26/09/2023 10:20:25",144339,3,"questionnaire-qxhw",NA,31881887,9426363,NA,"complete","hrgyvn","3JAOYWH7VO39CX7I7M1QHULXZMCL9S","computer","Desktop or Laptop","Windows 10","Firefox 117.0","1536x864","1355x698",NA,NA,0,"Attention Check 2",2,"In","BCADKEJFIGH",NA,"LH","1-0","1","SUPAMT76205"
"1",1695757960849,"26/09/2023 19:52:40",1695743560849,-4,"26/09/2023 11:52:40",144339,3,"questionnaire-qxhw",NA,31883578,9426787,NA,"complete","jyidxd","3FDJT1UU7A7FR4NOJWC8QE3GOQVK54","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"HL","1-0","1","SUPAMT80780"
"1",1695759013063,"26/09/2023 20:10:13",1695744613063,-4,"26/09/2023 12:10:13",144339,3,"questionnaire-qxhw",NA,31883953,9427017,NA,"complete","yqrgbg","3AWETUDC98RMSNHPQHYC22VYXLCZID","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"HL","1-0","1","SUPAMT01522"
"1",1695782874164,"27/09/2023 02:47:54",1695768474164,-4,"26/09/2023 18:47:54",144339,3,"questionnaire-qxhw",NA,31884595,9427531,NA,"complete","meizqp","3Z3ZLGNNSOTYOSYFII8C73H5901Q3H","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"LH","1-0","1","SUPAMT17673"
"1",1695761455959,"26/09/2023 20:50:55",1695747055959,-4,"26/09/2023 12:50:55",144339,3,"questionnaire-qxhw",NA,31884710,9427528,NA,"complete","muncwy","3NXNZ5RS1GWAXCIG3S0GYP3W42P79N","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"HL","1-0","1","SUPAMT57917"
"1",1695783287927,"27/09/2023 02:54:47",1695768887927,-4,"26/09/2023 18:54:47",144339,3,"questionnaire-qxhw",NA,31884810,9427529,NA,"complete","jkszqr","38F71OA9GZV2JPGGAK2XR3MX2PHFM0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x768",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"LH","1-0","1","SUPAMT04615"
