"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1718883533365,"20/06/2024 11:38:53",1718887133365,1,"20/06/2024 13:38:53",178265,9,"questionnaire-tzdp",NA,38392200,11284724,NA,"complete",NA,"66741499210d37e3b00bf442","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x730",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"In","1","2","MDPRF84507"
"1",1718883511780,"20/06/2024 11:38:31",1718887111780,1,"20/06/2024 13:38:31",178265,9,"questionnaire-tzdp",NA,38392207,11284723,NA,"complete",NA,"6674145ec50dc87bc1444b5e","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1281x564","1280x559",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","1","2","MDPRF45532"
"1",1718883542321,"20/06/2024 11:39:02",1718887142321,1,"20/06/2024 13:39:02",178265,9,"questionnaire-tzdp",NA,38392233,11284731,NA,"complete",NA,"667414a33d825aedadef7dec","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1792x1120","1557x897",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"In","1","2","MDPRF05489"
"1",1718883595475,"20/06/2024 11:39:55",1718887195475,1,"20/06/2024 13:39:55",178265,9,"questionnaire-tzdp",NA,38392281,11284740,NA,"complete",NA,"6674146c26a2d95fe1904f69","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 125.0.0.0","1470x956","1470x833",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"In","1","2","MDPRF05791"
"1",1718883606657,"20/06/2024 11:40:06",1718887206657,1,"20/06/2024 13:40:06",178265,9,"questionnaire-tzdp",NA,38392294,11284743,NA,"complete",NA,"667414319da3fdb506dd9dd5","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 126.0.0.0","1440x900","1440x813",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"In","1","2","MDPRF15787"
"1",1718883862997,"20/06/2024 11:44:22",1718887462997,1,"20/06/2024 13:44:22",178265,9,"questionnaire-tzdp",NA,38392480,11284756,NA,"complete",NA,"66741496c2e7185660444c1b","computer","Desktop or Laptop","Windows 10","Chrome 125.0.0.0","1368x912","912x500",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"In","1","2","MDPRF97532"
"1",1718883993483,"20/06/2024 11:46:33",1718887593483,1,"20/06/2024 13:46:33",178265,9,"questionnaire-tzdp",NA,38392525,11284781,NA,"complete",NA,"66741628d376d07b0f73162f","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","2560x1440","1279x1313",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"In","1","2","MDPRF62256"
"1",1718884025225,"20/06/2024 11:47:05",1718887625225,1,"20/06/2024 13:47:05",178265,9,"questionnaire-tzdp",NA,38392630,11284793,NA,"complete",NA,"66741605fd1782e0e5026356","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1280x720","1280x585",NA,NA,0,"Attention Check 1",2,"In","KAJBICHDGEF",NA,"In","1","2","MDPRF38981"
"1",1718884283009,"20/06/2024 11:51:23",1718887883009,1,"20/06/2024 13:51:23",178265,9,"questionnaire-tzdp",NA,38392808,11284816,NA,"complete",NA,"66741769c1be196f6727f22d","computer","Desktop or Laptop","Windows 10","Chrome 126.0.0.0","1536x864","1536x738",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"In","1","2","MDPRF91399"
"1",1718884571406,"20/06/2024 11:56:11",1718888171406,1,"20/06/2024 13:56:11",178265,9,"questionnaire-tzdp",NA,38392975,11284846,NA,"complete",NA,"667418b97b5b05c45cd64b42","computer","Desktop or Laptop","Windows 10","Chrome 121.0.0.0","1366x768","1366x641",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"In","1","2","MDPRF65440"
