"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"11",1694118713511,"07/09/2023 20:31:53",1694093513511,-7,"07/09/2023 06:31:53",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",6776,6750,6776,6776,6750,6776,1,6776,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT03527"
"12",1694118713512,"07/09/2023 20:31:53",1694093513512,-7,"07/09/2023 06:31:53",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","7",2906.25,6750,6777,2906.25,6750,6777,1,2906.25,3870.75,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPAMT03527"
"13",1694118713512,"07/09/2023 20:31:53",1694093513512,-7,"07/09/2023 06:31:53",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","6",5375,6750,6777,5375,6750,6777,1,5375,1402,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPAMT03527"
"14",1694118713513,"07/09/2023 20:31:53",1694093513513,-7,"07/09/2023 06:31:53",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","4",4781.25,6750,6778,4781.25,6750,6778,1,4781.25,1996.75,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPAMT03527"
"15",1694118713515,"07/09/2023 20:31:53",1694093513515,-7,"07/09/2023 06:31:53",142342,3,"questionnaire-uu2n",NA,31560529,9335366,NA,"complete","xjntzu","3R9WASFE25F2IWFZP9SRZ5I6H7LZFF","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"BIQ (Charlotte)",2,"In","ABKCJDIEHFG",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT03527"
"1",1694125387575,"07/09/2023 22:23:07",1694107387575,-5,"07/09/2023 12:23:07",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT50322"
"2",1694125401247,"07/09/2023 22:23:21",1694107401247,-5,"07/09/2023 12:23:21",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",13686.1000000004,13683.315,13686.1000000004,13686.1000000004,13683.315,13686.1000000004,1,13686.1000000004,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT50322"
"3",1694125401248,"07/09/2023 22:23:21",1694107401248,-5,"07/09/2023 12:23:21",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","4",3591.727,13683.315,13688.1000000004,3591.727,13683.315,13688.1000000004,1,3591.727,10096.3730000004,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT50322"
"4",1694125401249,"07/09/2023 22:23:21",1694107401249,-5,"07/09/2023 12:23:21",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","7",7100.054,13683.315,13688.2999999996,7100.054,13683.315,13688.2999999996,1,7100.054,6588.24599999963,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT50322"
"5",1694125401249,"07/09/2023 22:23:21",1694107401249,-5,"07/09/2023 12:23:21",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","1",8716.693,13683.315,13688.6000000004,8716.693,13683.315,13688.6000000004,1,8716.693,4971.90700000037,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT50322"
"6",1694125412326,"07/09/2023 22:23:32",1694107412326,-5,"07/09/2023 12:23:32",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",11081.6850000007,11074.91,11081.6850000007,11081.6850000007,11074.91,11081.6850000007,1,11081.6850000007,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT50322"
"7",1694125412328,"07/09/2023 22:23:32",1694107412328,-5,"07/09/2023 12:23:32",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","7",4291.64,11074.91,11083.24,4291.64,11074.91,11083.24,1,4291.64,6791.6,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT50322"
"8",1694125412329,"07/09/2023 22:23:32",1694107412329,-5,"07/09/2023 12:23:32",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",6183.302,11074.91,11083.24,6183.302,11074.91,11083.24,1,6183.302,4899.938,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT50322"
"9",1694125412329,"07/09/2023 22:23:32",1694107412329,-5,"07/09/2023 12:23:32",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","1",7774.964,11074.91,11083.24,7774.964,11074.91,11083.24,1,7774.964,3308.276,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT50322"
"10",1694125432186,"07/09/2023 22:23:52",1694107432186,-5,"07/09/2023 12:23:52",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",19866.563,19858.215,19866.563,19866.563,19858.215,19866.563,1,19866.563,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT50322"
"11",1694125432188,"07/09/2023 22:23:52",1694107432188,-5,"07/09/2023 12:23:52",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","0",19191.537,19858.215,19866.563,19191.537,19858.215,19866.563,1,19191.537,675.025999999998,0,NA,"Rating Scale","Rating Scale",2,"object-53","BIQ",NA,"SUPAMT50322"
"12",1694125432188,"07/09/2023 22:23:52",1694107432188,-5,"07/09/2023 12:23:52",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","1",17116.552,19858.215,19866.563,17116.552,19858.215,19866.563,1,17116.552,2750.011,0,NA,"Rating Scale","Rating Scale",9,"object-60","BIQ",NA,"SUPAMT50322"
"13",1694125432189,"07/09/2023 22:23:52",1694107432189,-5,"07/09/2023 12:23:52",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"response","4",16666.558,19858.215,19866.563,16666.558,19858.215,19866.563,1,16666.558,3200.005,0,NA,"Rating Scale","Rating Scale",16,"object-67","BIQ",NA,"SUPAMT50322"
"14",1694125432189,"07/09/2023 22:23:52",1694107432189,-5,"07/09/2023 12:23:52",142342,3,"questionnaire-uu2n",NA,31569681,9337329,NA,"complete","ownfuv","378XPAWRUICLRF9HEPIDL94PMQ8IAC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1234x731",NA,NA,0,"BIQ (Charlotte)",2,"In","CDBEAFKGJHI",NA,"Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT50322"
"1",1694123659306,"07/09/2023 21:54:19",1694109259306,-4,"07/09/2023 13:54:19",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPAMT34462"
"2",1694123668449,"07/09/2023 21:54:28",1694109268449,-4,"07/09/2023 13:54:28",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"continue","",9158.64100019074,9143.624,9158.64100019074,9158.64100019074,9143.624,9158.64100019074,1,9158.64100019074,0,0,NA,"Click To Continue","Continue Button",23,"object-48","BIQ",NA,"SUPAMT34462"
"3",1694123668450,"07/09/2023 21:54:28",1694109268450,-4,"07/09/2023 13:54:28",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","2",2511.909,9143.624,9160.29,2511.909,9143.624,9160.29,1,2511.909,6648.381,0,NA,"Rating Scale","Rating Scale",3,"object-5","BIQ",NA,"SUPAMT34462"
"4",1694123668450,"07/09/2023 21:54:28",1694109268450,-4,"07/09/2023 13:54:28",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",6692.949,9143.624,9160.29,6692.949,9143.624,9160.29,1,6692.949,2467.341,0,NA,"Rating Scale","Rating Scale",10,"object-18","BIQ",NA,"SUPAMT34462"
"5",1694123668451,"07/09/2023 21:54:28",1694109268451,-4,"07/09/2023 13:54:28",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 1","9dh6eq",1,"response","3",7479.678,9143.624,9160.29,7479.678,9143.624,9160.29,1,7479.678,1680.612,0,NA,"Rating Scale","Rating Scale",17,"object-80","BIQ",NA,"SUPAMT34462"
"6",1694123673511,"07/09/2023 21:54:33",1694109273511,-4,"07/09/2023 13:54:33",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"continue","",5077.91700004768,5072.718,5077.91700004768,5077.91700004768,5072.718,5077.91700004768,1,5077.91700004768,0,0,NA,"Click To Continue","Continue Button",22,"object-50","BIQ",NA,"SUPAMT34462"
"7",1694123673515,"07/09/2023 21:54:33",1694109273515,-4,"07/09/2023 13:54:33",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",2055.193,5072.718,5081.61700009537,2055.193,5072.718,5081.61700009537,1,2055.193,3026.42400009537,0,NA,"Rating Scale","Rating Scale",2,"object-259","BIQ",NA,"SUPAMT34462"
"8",1694123673515,"07/09/2023 21:54:33",1694109273515,-4,"07/09/2023 13:54:33",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",3061.542,5072.718,5082.11700009537,3061.542,5072.718,5082.11700009537,1,3061.542,2020.57500009537,0,NA,"Rating Scale","Rating Scale",9,"object-36","BIQ",NA,"SUPAMT34462"
"9",1694123673516,"07/09/2023 21:54:33",1694109273516,-4,"07/09/2023 13:54:33",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 2","o21mwi",2,"response","3",3867.007,5072.718,5082.61700009537,3867.007,5072.718,5082.61700009537,1,3867.007,1215.61000009537,0,NA,"Rating Scale","Rating Scale",16,"object-86","BIQ",NA,"SUPAMT34462"
"10",1694123673619,"07/09/2023 21:54:33",1694109273619,-4,"07/09/2023 13:54:33",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",112.699000047684,96.6889999999985,112.699000047684,112.699000047684,96.6889999999985,112.699000047684,1,112.699000047684,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT34462"
"11",1694123677506,"07/09/2023 21:54:37",1694109277506,-4,"07/09/2023 13:54:37",142342,3,"questionnaire-uu2n",NA,31571401,9337506,NA,"complete","wvfrhs","3VNL7UK1XLI6WK60JH39DHHPWNMFTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1225x726",NA,NA,0,"BIQ (Charlotte)",2,"In","DECFBGAHKIJ",NA,"Spreadsheet1",1,"BIQ","Screen 3","iz3the",3,"continue","",4000.499,3992.329,4000.499,4000.499,3992.329,4000.499,1,4000.499,0,0,NA,"Click To Continue","Continue Button",22,"object-73","BIQ",NA,"SUPAMT34462"
