"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1694446661120,"11/09/2023 15:37:41",1694432261120,-4,"11/09/2023 07:37:41",142342,3,"questionnaire-qxhw",NA,31625719,9347546,NA,"complete","cktauf","340UGXU9D40ASU7FJ1YN0Z6D3ZNUVY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"1-0","1","SUPAMT02924"
"1",1694447065409,"11/09/2023 15:44:25",1694432665409,-4,"11/09/2023 07:44:25",142342,3,"questionnaire-qxhw",NA,31625874,9347600,NA,"complete","mjpddr","3QUO65DNQ0NF2AYIIPC957C57Q9UOJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"1-0","1","SUPAMT59799"
"1",1694451867652,"11/09/2023 17:04:27",1694433867652,-5,"11/09/2023 07:04:27",142342,3,"questionnaire-qxhw",NA,31626118,9347681,NA,"complete","nfrksp","3ATPCQ38JE97HFOMI74G7XYDC7EAYE","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1360x768","1360x651",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT72552"
"1",1694450800203,"11/09/2023 16:46:40",1694436400203,-4,"11/09/2023 08:46:40",142342,3,"questionnaire-qxhw",NA,31627198,9347855,NA,"complete","gqpfeh","3CPLWGV3MUYZ0XA3JZH5UMPM4VM9NK","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCAB",NA,"0-2","3","SUPAMT97544"
"1",1694451184644,"11/09/2023 16:53:04",1694436784644,-4,"11/09/2023 08:53:04",142342,3,"questionnaire-qxhw",NA,31627343,9347969,NA,"complete","iydyll","3H8DHMCCWFAAVH2HY2UROQR81LVDKZ","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","IJHKGAFBECD",NA,"1-0","1","SUPAMT35426"
"1",1694458929416,"11/09/2023 19:02:09",1694437329416,-6,"11/09/2023 07:02:09",142342,3,"questionnaire-qxhw",NA,31627556,9348010,NA,"complete","mtbyez","3YW4XOSQKWKU6IRHCNEYTBZXCP61US","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2",2,"In","JKIAHBGCFDE",NA,"1-0","1","SUPAMT63935"
"1",1694452138967,"11/09/2023 17:08:58",1694437738967,-4,"11/09/2023 09:08:58",142342,3,"questionnaire-qxhw",NA,31627756,9348091,NA,"complete","iosqgt","32XVDSJFP5WIIV44MPNQ7KS8T0QM2V","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","ABKCJDIEHFG",NA,"1-0","1","SUPAMT91520"
"1",1694454921873,"11/09/2023 17:55:21",1694440521873,-4,"11/09/2023 09:55:21",142342,3,"questionnaire-qxhw",NA,31628935,9348312,NA,"complete","jqbjgv","","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","CDBEAFKGJHI",NA,"1-0","1","SUPAMT64111"
"1",1694455693877,"11/09/2023 18:08:13",1694441293877,-4,"11/09/2023 10:08:13",142342,3,"questionnaire-qxhw",NA,31629490,9348283,NA,"complete","sfsbxy","31N2WW6R9XP1X38642XIV4DR2C63F6","computer","Desktop or Laptop","Windows 10","Firefox 117.0","1536x864","1536x731",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHKIJ",NA,"1-0","1","SUPAMT64111"
"1",1694461358873,"11/09/2023 19:42:38",1694446958873,-4,"11/09/2023 11:42:38",142342,3,"questionnaire-qxhw",NA,31631913,9348868,NA,"complete","drnnnk","3LYA37P8IWMHGK4XK63LT038XFTBKT","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJK",NA,"1-0","1","SUPAMT59606"
