"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1694450483589,"11/09/2023 16:41:23",1694436083589,-4,"11/09/2023 08:41:23",142342,3,"questionnaire-tzdp",NA,31627084,9347969,NA,"complete","iydyll","3H8DHMCCWFAAVH2HY2UROQR81LVDKZ","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"1","2","SUPAMT35426"
"1",1694458221641,"11/09/2023 18:50:21",1694436621641,-6,"11/09/2023 06:50:21",142342,3,"questionnaire-tzdp",NA,31627256,9348010,NA,"complete","mtbyez","3YW4XOSQKWKU6IRHCNEYTBZXCP61US","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","JKIAHBGCFDE",NA,"1","2","SUPAMT63935"
"1",1694451766370,"11/09/2023 17:02:46",1694437366370,-4,"11/09/2023 09:02:46",142342,3,"questionnaire-tzdp",NA,31627639,9348091,NA,"complete","iosqgt","32XVDSJFP5WIIV44MPNQ7KS8T0QM2V","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","ABKCJDIEHFG",NA,"1","2","SUPAMT91520"
"1",1694454474002,"11/09/2023 17:47:54",1694440074002,-4,"11/09/2023 09:47:54",142342,3,"questionnaire-tzdp",NA,31628616,9348283,NA,"complete","sfsbxy","31N2WW6R9XP1X38642XIV4DR2C63F6","computer","Desktop or Laptop","Windows 10","Firefox 117.0","1536x864","1536x731",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHKIJ",NA,"1","2","SUPAMT64111"
"1",1694454506669,"11/09/2023 17:48:26",1694440106669,-4,"11/09/2023 09:48:26",142342,3,"questionnaire-tzdp",NA,31628648,9348312,NA,"complete","jqbjgv","","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","CDBEAFKGJHI",NA,"1","2","SUPAMT32156"
"1",1694459726567,"11/09/2023 19:15:26",1694445326567,-4,"11/09/2023 11:15:26",142342,3,"questionnaire-tzdp",NA,31631443,9348868,NA,"complete","drnnnk","3LYA37P8IWMHGK4XK63LT038XFTBKT","computer","Desktop or Laptop","Windows 10","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJK",NA,"1","2","SUPAMT59606"
"1",1694460958271,"11/09/2023 19:35:58",1694446558271,-4,"11/09/2023 11:35:58",142342,3,"questionnaire-tzdp",NA,31631806,9349015,NA,"complete","ipxphk","3QHK8ZVMISHS0QMF56FM80GNLBCLBB","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1517x687",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKA",NA,"1","2","SUPAMT98578"
"1",1694483303789,"12/09/2023 01:48:23",1694468903789,-4,"11/09/2023 17:48:23",142342,3,"questionnaire-tzdp",NA,31631996,9349060,NA,"complete","acwbwe","3L4PIM1GQZFZGWA3KIQ22NNNE3MYRG","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1024x768","1024x619",NA,NA,0,"Attention Check 1",2,"In","GHFIEJDKCAB",NA,"1","2","SUPAMT53264"
"1",1694462636686,"11/09/2023 20:03:56",1694448236686,-4,"11/09/2023 12:03:56",142342,3,"questionnaire-tzdp",NA,31632184,9349095,NA,"complete","obuidv","3KYQYYSHY16TL8NWWUMKV78HLQ9ODY","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","HIGJFKEADBC",NA,"1","2","SUPAMT40116"
"1",1694463068107,"11/09/2023 20:11:08",1694448668107,-4,"11/09/2023 12:11:08",142342,3,"questionnaire-tzdp",NA,31632285,9349121,NA,"complete","ooxafi","3QJOXOW4XPQADBGKF9IR9L1XQ4HME0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","IJHKGAFBECD",NA,"1","2","SUPAMT68498"
