"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","Manipulation..Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","order.ot79","branch.mcuq","Random_ID"
1,1692715338024,"22/08/2023 14:42",1692718938024,1,"22/08/2023 16:42",140895,11,"questionnaire-uu2n",NA,31285753,NA,"complete",NA,"64e4beb229e55de2af7a9b3c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 114.0.0.0","1440x900","1440x788",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKBJCIDHEGF","","MDPRF56870"
1,1692712497385,"22/08/2023 13:54",1692716097385,1,"22/08/2023 15:54",140895,11,"questionnaire-uu2n",NA,31284638,NA,"complete",NA,"64e4bd9f85b1f1977897adbe","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x941",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HIGJFKELDACB","","MDPRF86502"
1,1692975964937,"25/08/2023 15:06",1692983164937,2,"25/08/2023 19:06",140895,11,"questionnaire-uu2n",NA,31364603,NA,"complete",NA,"64e8c161eda1fc714616b040","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x651",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCADLEKFJGIH","","MDPRF12592"
1,1692976402295,"25/08/2023 15:13",1692980002295,1,"25/08/2023 17:13",140895,11,"questionnaire-uu2n",NA,31364731,NA,"complete",NA,"64e8c1c8e49d631ba7867880","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x782",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CDBEAFLGKHJI","","MDPRF17225"
1,1692976576406,"25/08/2023 15:16",1692980176406,1,"25/08/2023 17:16",140895,11,"questionnaire-uu2n",NA,31364788,NA,"complete",NA,"64e8c2263246ecbfdac10c37","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","681x626",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DECFBGAHLIKJ","","MDPRF53463"
1,1692976567984,"25/08/2023 15:16",1692980167984,1,"25/08/2023 17:16",140895,11,"questionnaire-uu2n",NA,31364787,NA,"complete",NA,"64e8c55351ef0a949e3a14ef","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1676x943","1676x787",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FGEHDICJBKAL","","MDPRF34408"
1,1692915135750,"24/08/2023 22:12",1692918735750,1,"25/08/2023 00:12",140895,11,"questionnaire-uu2n",NA,31351535,NA,"complete",NA,"64e7d4c167044a4d485741b3","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x595",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IJHKGLFAEBDC","","MDPRF78865"
1,1692962263665,"25/08/2023 11:17",1692965863665,1,"25/08/2023 13:17",140895,11,"questionnaire-uu2n",NA,31359730,NA,"complete",NA,"64e88c467150c4cc0bb7785a","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x963",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JKILHAGBFCED","","MDPRF65333"
1,1692975576011,"25/08/2023 14:59",1692979176011,1,"25/08/2023 16:59",140895,11,"questionnaire-uu2n",NA,31364492,NA,"complete",NA,"64e8bff75233a03e5a5be93f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x696",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKBJCIDHEGF","","MDPRF62860"
1,1692976104847,"25/08/2023 15:08",1692979704847,1,"25/08/2023 17:08",140895,11,"questionnaire-uu2n",NA,31364635,NA,"complete",NA,"64e8c073319f8a645bd79db7","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.54","1920x1080","1920x947",NA,NA,0,"BIQ (Charlotte)",2,"In","Spreadsheet1",NA,NA,NA,NA,NA,NA,5,"BEGIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABLCKDJEIFHG","","MDPRF61122"
