"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Score..Consent","branch.mcuq","Random_ID"
1,1692312752878,"17/08/2023 22:52",1692316352878,1,"18/08/2023 00:52",140895,11,"questionnaire-rew7",NA,31241631,NA,"complete",NA,"64dea3b32f0ee1f7f7627144","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,0,"Consent Prolific Pilot",3,"In","KLJAIBHCGDFE",1,1,1,1,1,1,1,1,1,18,"","MDPRF89348"
1,1692972776147,"25/08/2023 14:12",1692976376147,1,"25/08/2023 16:12",140895,11,"questionnaire-rew7",NA,31363790,NA,"complete",NA,"64e8b6d7a33ee79f33a4f2d5","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x715",NA,NA,0,"Consent Prolific Pilot",3,"In","KLJAIBHCGDFE",1,1,1,1,1,1,1,1,1,18,"","MDPRF45704"
1,1692301029524,"17/08/2023 19:37",1692304629524,1,"17/08/2023 21:37",140895,11,"questionnaire-rew7",NA,31240526,NA,"complete",NA,"64de76d5809a8c95d1d63c6b","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1280x720","1225x601",NA,NA,0,"Consent Prolific Pilot",3,"In","GHFIEJDKCLBA",1,1,1,1,1,1,1,1,1,18,"","MDPRF70595"
1,1692298300974,"17/08/2023 18:51",1692301900974,1,"17/08/2023 20:51",140895,11,"questionnaire-rew7",NA,31240131,NA,"complete",NA,"64de6c2068b434ec15bfd9f1","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","2560x1440","2560x1283",NA,NA,0,"Consent Prolific Pilot",3,"In","FGEHDICJBKAL",1,1,1,1,1,1,1,1,1,18,"","MDPRF14173"
1,1692277090738,"17/08/2023 12:58",1692280690738,1,"17/08/2023 14:58",140895,11,"questionnaire-rew7",NA,31233400,NA,"complete",NA,"64de194ef9f6bd8fc7879ae9","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Consent Prolific Pilot",3,"In","EFDGCHBIAJLK",1,1,1,1,1,1,1,1,1,18,"","MDPRF70880"
1,1692276645966,"17/08/2023 12:50",1692280245966,1,"17/08/2023 14:50",140895,11,"questionnaire-rew7",NA,31233035,NA,"complete",NA,"64de178fa7e443a0cd6b10ed","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Consent Prolific Pilot",3,"In","DECFBGAHLIKJ",1,1,1,1,1,1,1,1,1,18,"","MDPRF18662"
1,1692712347642,"22/08/2023 13:52",1692715947642,1,"22/08/2023 15:52",140895,11,"questionnaire-rew7",NA,31284572,NA,"complete",NA,"64e4bd6cb43152842353bf5b","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Consent Prolific Pilot",3,"In","IJHKGLFAEBDC",1,1,1,1,1,1,1,1,1,18,"","MDPRF78305"
1,1692712585444,"22/08/2023 13:56",1692716185444,1,"22/08/2023 15:56",140895,11,"questionnaire-rew7",NA,31284670,NA,"complete",NA,"64e4be227a043e01393606e6","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.6.1","1440x900","1440x820",NA,NA,0,"Consent Prolific Pilot",3,"In","KLJAIBHCGDFE",1,1,1,1,1,1,1,1,1,18,"","MDPRF71639"
1,1692712788078,"22/08/2023 13:59",1692716388078,1,"22/08/2023 15:59",140895,11,"questionnaire-rew7",NA,31284771,NA,"complete",NA,"64e4beb229e55de2af7a9b3c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 114.0.0.0","1440x900","1440x788",NA,NA,0,"Consent Prolific Pilot",3,"In","LAKBJCIDHEGF",1,1,1,1,1,1,1,1,1,18,"","MDPRF56870"
1,1692712361604,"22/08/2023 13:52",1692715961604,1,"22/08/2023 15:52",140895,11,"questionnaire-rew7",NA,31284575,NA,"complete",NA,"64e4bd9f85b1f1977897adbe","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x941",NA,NA,0,"Consent Prolific Pilot",3,"In","HIGJFKELDACB",1,1,1,1,1,1,1,1,1,18,"","MDPRF86502"
