"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.k5rb","randomiser.rz7w","Spreadsheet","Current.Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand_M","Spreadsheet..Answer","Spreadsheet..C_points","Spreadsheet..L_points","Spreadsheet..W_points","Spreadsheet..rand_G","Manipulation..Spreadsheet","Store..Choice","Store..total","Store..total_score","Store..pounds","Store..total_money","Store..partA","Store..MoneyReward","Store..pointsPR","Random_ID"
"199",1727180160427,"24/09/2024 12:16:00",1727183760427,1,"24/09/2024 14:16:00",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",44,"Rating","Screen 1","hx8b5a",1,"response","20",4729,5612,5615,4729,5612,5615,1,4729,886,0,NA,"Slider","MoodSlider",2,"object-243","Rating","frustrated","not frustrated","frustrated",15,"",NA,NA,NA,NA,NA,"Right",NA,21.33,NA,NA,NA,NA,0,"MDPRF10753"
"200",1727180160431,"24/09/2024 12:16:00",1727183760431,1,"24/09/2024 14:16:00",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",45,"Rating","Screen 1","hx8b5a",1,"info","",7,0,7,7,0,7,1,7,0,0,NA,"Slider","MoodSlider",2,"object-243","Rating","happy","unhappy","happy",15,"",NA,NA,NA,NA,NA,"Right",NA,21.33,NA,NA,NA,NA,0,"MDPRF10753"
"201",1727180164012,"24/09/2024 12:16:04",1727183764012,1,"24/09/2024 14:16:04",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",45,"Rating","Screen 1","hx8b5a",1,"continue","",3588,3580,3588,3588,3580,3588,1,3588,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",15,"",NA,NA,NA,NA,NA,"Right",NA,21.33,NA,NA,NA,NA,0,"MDPRF10753"
"202",1727180164012,"24/09/2024 12:16:04",1727183764012,1,"24/09/2024 14:16:04",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",45,"Rating","Screen 1","hx8b5a",1,"response","44",2548,3580,3589,2548,3580,3589,1,2548,1041,0,NA,"Slider","MoodSlider",2,"object-243","Rating","happy","unhappy","happy",15,"",NA,NA,NA,NA,NA,"Right",NA,21.33,NA,NA,NA,NA,0,"MDPRF10753"
"203",1727180165970,"24/09/2024 12:16:05",1727183765970,1,"24/09/2024 14:16:05",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",5,"winB","Screen 1","pkkyi8",1,"continue","",1965,1965,1965,1965,1965,1965,1,1965,0,0,NA,"Fixation Timing","Fixation",1,"object-246","winB","","","",NA,"Right",-2.67,-3,-2,15,NA,"Right",NA,21.33,NA,NA,NA,NA,0,"MDPRF10753"
"204",1727180170486,"24/09/2024 12:16:10",1727183770486,1,"24/09/2024 14:16:10",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",5,"winB","choice","5lszbx",2,"response","Left",4518,4513,4518,4518,4513,4518,0,4518,0,0,NA,"Keyboard Response","KeyResponseC",5,"object-255","winB","","","",NA,"Right",-2.67,-3,-2,15,NA,"Left",NA,18.66,NA,NA,NA,NA,-2.67,"MDPRF10753"
"205",1727180175479,"24/09/2024 12:16:15",1727183775479,1,"24/09/2024 14:16:15",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",5,"winB","certain","nw4etn",3,"timedOut","",4997,4996,4997,4997,4996,4997,1,4997,0,0,NA,"Time Limit","screen",0,"screen","winB","","","",NA,"Right",-2.67,-3,-2,15,NA,"Left",NA,18.66,NA,NA,NA,NA,-2.67,"MDPRF10753"
"206",1727180175493,"24/09/2024 12:16:15",1727183775493,1,"24/09/2024 14:16:15",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",46,"Rating","Screen 1","hx8b5a",1,"info","",15,0,15,15,0,15,1,15,0,0,NA,"Slider","MoodSlider",2,"object-243","Rating","bored","not bored","bored",16,"",NA,NA,NA,NA,NA,"Left",NA,18.66,NA,NA,NA,NA,-2.67,"MDPRF10753"
"207",1727180178913,"24/09/2024 12:16:18",1727183778913,1,"24/09/2024 14:16:18",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",46,"Rating","Screen 1","hx8b5a",1,"continue","",3436,3429,3436,3436,3429,3436,1,3436,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",16,"",NA,NA,NA,NA,NA,"Left",NA,18.66,NA,NA,NA,NA,-2.67,"MDPRF10753"
"208",1727180178914,"24/09/2024 12:16:18",1727183778914,1,"24/09/2024 14:16:18",187387,9,"task-7wst",NA,40225743,11743984,NA,"complete",NA,"66f2a1421a5dd6b70344aa8d","computer","Desktop or Laptop","Windows 10","Chrome 129.0.0.0","1544x872","1536x864",NA,NA,0,"Gambling_GBO",12,"In","ABKCJDIEHFG",NA,"In","HM_OCT","seq1","Gamble_Rand_Seq1","Gamble_Rand_Seq1",46,"Rating","Screen 1","hx8b5a",1,"response","14",2530,3429,3437,2530,3429,3437,1,2530,907,0,NA,"Slider","MoodSlider",2,"object-243","Rating","bored","not bored","bored",16,"",NA,NA,NA,NA,NA,"Left",NA,18.66,NA,NA,NA,NA,-2.67,"MDPRF10753"
