"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"31",1701887628506,"06/12/2023 18:33:48",1701887628506,0,"06/12/2023 18:33:48",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",12,"Rating","Screen 1","poh9ia",1,"response","62",1082.88100000002,1932.74100000001,1949.00100000002,1082.88100000002,1932.74100000001,1949.00100000002,1,1082.88100000002,866.119999999995,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",4,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"32",1701887659449,"06/12/2023 18:34:19",1701887659449,0,"06/12/2023 18:34:19",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",3,"Rest","Screen 1","6pwktf",1,"continue","",30963.169,30963.169,30963.169,30963.169,30963.169,30963.169,1,30963.169,0,0,NA,"Fixation Timing","Fixation",1,"object-46","Rest","","","",NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"33",1701887665936,"06/12/2023 18:34:25",1701887665936,0,"06/12/2023 18:34:25",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",13,"Rating","Screen 1","poh9ia",1,"continue","",6482.24900000004,6465.70500000002,6482.24900000004,6482.24900000004,6465.70500000002,6482.24900000004,1,6482.24900000004,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",5,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"34",1701887665937,"06/12/2023 18:34:25",1701887665937,0,"06/12/2023 18:34:25",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",13,"Rating","Screen 1","poh9ia",1,"response","54",4832.55900000001,6465.70500000002,6482.24900000004,4832.55900000001,6465.70500000002,6482.24900000004,1,4832.55900000001,1649.69000000003,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",5,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"35",1701887668725,"06/12/2023 18:34:28",1701887668725,0,"06/12/2023 18:34:28",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",14,"Rating","Screen 1","poh9ia",1,"continue","",2811.79499997615,2799.82399999999,2811.79499997615,2811.79499997615,2799.82399999999,2811.79499997615,1,2811.79499997615,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",5,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"36",1701887668726,"06/12/2023 18:34:28",1701887668726,0,"06/12/2023 18:34:28",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",14,"Rating","Screen 1","poh9ia",1,"response","57",1766.5,2799.82399999999,2812.99499990462,1766.5,2799.82399999999,2812.99499990462,1,1766.5,1046.49499990462,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",5,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"37",1701887670753,"06/12/2023 18:34:30",1701887670753,0,"06/12/2023 18:34:30",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",15,"Rating","Screen 1","poh9ia",1,"continue","",2039.97099997615,2033.00699999998,2039.97099997615,2039.97099997615,2033.00699999998,2039.97099997615,1,2039.97099997615,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",5,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"38",1701887670766,"06/12/2023 18:34:30",1701887670766,0,"06/12/2023 18:34:30",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",15,"Rating","Screen 1","poh9ia",1,"response","76",1132.728,2033.00699999998,2049.80599999998,1132.728,2033.00699999998,2049.80599999998,1,1132.728,917.07799999998,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",5,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"39",1701887701710,"06/12/2023 18:35:01",1701887701710,0,"06/12/2023 18:35:01",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",4,"Rest","Screen 1","6pwktf",1,"continue","",30962.582,30962.582,30962.582,30962.582,30962.582,30962.582,1,30962.582,0,0,NA,"Fixation Timing","Fixation",1,"object-46","Rest","","","",NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
"40",1701887704518,"06/12/2023 18:35:04",1701887704518,0,"06/12/2023 18:35:04",152734,15,"task-4bru",NA,33498344,9909299,NA,"complete",NA,"6570b73236251057f2d1a6d7","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1280x720","1232x598",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",3,"Spreadsheet3",16,"Rating","Screen 1","poh9ia",1,"continue","",2809.08199990462,2799.67499999999,2809.08199990462,2809.08199990462,2799.67499999999,2809.08199990462,1,2809.08199990462,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",6,NA,NA,NA,NA,NA,NA,NA,0.15,NA,"MDPRF73880"
