"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","Random_ID"
"118",1701888804170,"06/12/2023 18:53:24",1701888804170,0,"06/12/2023 18:53:24",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",4,"RestH","Screen 1","wxp2y6",1,"continue","",30988.018,30988.018,30988.018,30988.018,30988.018,30988.018,1,30988.018,0,0,NA,"Fixation Timing","Fixation",1,"object-41","RestH","","","",NA,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"119",1701888807412,"06/12/2023 18:53:27",1701888807412,0,"06/12/2023 18:53:27",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",49,"Rating","Screen 1","poh9ia",1,"continue","",3242.37100000295,3236.44799999997,3242.37100000295,3242.37100000295,3236.44799999997,3242.37100000295,1,3242.37100000295,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",17,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"120",1701888807412,"06/12/2023 18:53:27",1701888807412,0,"06/12/2023 18:53:27",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",49,"Rating","Screen 1","poh9ia",1,"response","46",1776.65500000003,3236.44799999997,3242.57100000593,1776.65500000003,3236.44799999997,3242.57100000593,1,1776.65500000003,1465.91600000591,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",17,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"121",1701888810313,"06/12/2023 18:53:30",1701888810313,0,"06/12/2023 18:53:30",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",50,"Rating","Screen 1","poh9ia",1,"continue","",2906.723,2902.74699999997,2906.723,2906.723,2902.74699999997,2906.723,1,2906.723,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",17,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"122",1701888810313,"06/12/2023 18:53:30",1701888810313,0,"06/12/2023 18:53:30",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",50,"Rating","Screen 1","poh9ia",1,"response","37",2143.76000000001,2902.74699999997,2907.02299999702,2143.76000000001,2902.74699999997,2907.02299999702,1,2143.76000000001,763.262999997009,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",17,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"123",1701888813079,"06/12/2023 18:53:33",1701888813079,0,"06/12/2023 18:53:33",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",51,"Rating","Screen 1","poh9ia",1,"continue","",2769.3629999999,2760.97999999998,2769.3629999999,2769.3629999999,2760.97999999998,2769.3629999999,1,2769.3629999999,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",17,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"124",1701888813079,"06/12/2023 18:53:33",1701888813079,0,"06/12/2023 18:53:33",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",51,"Rating","Screen 1","poh9ia",1,"response","59",1568.21700000006,2760.97999999998,2769.3629999999,1568.21700000006,2760.97999999998,2769.3629999999,1,1568.21700000006,1201.14599999983,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",17,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"125",1701888844058,"06/12/2023 18:54:04",1701888844058,0,"06/12/2023 18:54:04",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",5,"RestH","Screen 1","wxp2y6",1,"continue","",30987.9060000001,30987.9060000001,30987.9060000001,30987.9060000001,30987.9060000001,30987.9060000001,1,30987.9060000001,0,0,NA,"Fixation Timing","Fixation",1,"object-41","RestH","","","",NA,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"126",1701888848880,"06/12/2023 18:54:08",1701888848880,0,"06/12/2023 18:54:08",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",52,"Rating","Screen 1","poh9ia",1,"continue","",4821.23499999999,4812.89399999997,4821.23499999999,4821.23499999999,4812.89399999997,4821.23499999999,1,4821.23499999999,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","bored","not bored","bored",18,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"127",1701888848880,"06/12/2023 18:54:08",1701888848880,0,"06/12/2023 18:54:08",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",52,"Rating","Screen 1","poh9ia",1,"response","47",3253.14799999993,4812.89399999997,4821.23499999999,3253.14799999993,4812.89399999997,4821.23499999999,1,3253.14799999993,1568.08700000006,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",18,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"128",1701888854303,"06/12/2023 18:54:14",1701888854303,0,"06/12/2023 18:54:14",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",53,"Rating","Screen 1","poh9ia",1,"continue","",5431.49599999702,5430.255,5431.49599999702,5431.49599999702,5430.255,5431.49599999702,1,5431.49599999702,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","happy","unhappy","happy",18,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"129",1701888854304,"06/12/2023 18:54:14",1701888854304,0,"06/12/2023 18:54:14",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",53,"Rating","Screen 1","poh9ia",1,"response","63",4771.22999999998,5430.255,5432.89600000298,4771.22999999998,5430.255,5432.89600000298,1,4771.22999999998,661.666000002995,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",18,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
"130",1701888861841,"06/12/2023 18:54:21",1701888861841,0,"06/12/2023 18:54:21",152734,15,"task-o66i",NA,33498872,9909494,NA,"complete",NA,"6570bcac58d63e7508f01548","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2560x1440","2560x1283",NA,NA,0,"Rest + Money + Mood rating",33,"In","JKILHAGBFCED",NA,"In",4,"Spreadsheet4",54,"Rating","Screen 1","poh9ia",1,"continue","",7539.94099999999,7532.15700000001,7539.94099999999,7539.94099999999,7532.15700000001,7539.94099999999,1,7539.94099999999,0,0,NA,"Click To Continue","Continue Button",3,"object-25","Rating","frustrated","not frustrated","frustrated",18,NA,NA,NA,NA,NA,NA,3,0.25,NA,"MDPRF40282"
