"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others","Multiple.Choice.Grid.object.2.Easily.annoyed.by.others.Quantised","Multiple.Choice.Grid.object.2.Often.lose.temper","Multiple.Choice.Grid.object.2.Often.lose.temper.Quantised","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time","Multiple.Choice.Grid.object.2.Stay.angry.for.a.long.time.Quantised","Multiple.Choice.Grid.object.2.Angry.most.of.the.time","Multiple.Choice.Grid.object.2.Angry.most.of.the.time.Quantised","Multiple.Choice.Grid.object.2.Get.angry.frequently","Multiple.Choice.Grid.object.2.Get.angry.frequently.Quantised","Multiple.Choice.Grid.object.2.Lose.temper.easily","Multiple.Choice.Grid.object.2.Lose.temper.easily.Quantised","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems","Multiple.Choice.Grid.object.2.Overall..irritability.causes.me.problems.Quantised","Random_ID"
"1",1695966871149,"29/09/2023 05:54:31",1695952471149,-4,"28/09/2023 21:54:31",144339,5,"questionnaire-79c5",NA,31934583,9444420,NA,"complete","zwspjh","3ZGVPD4G6ZGC11X0KTXGG9X79HTZTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"ARI",2,"In","CDBEAFLGKHJI",NA,"HL","In","Somewhat true","2","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","SUPAMT72748"
"1",1695978946640,"29/09/2023 09:15:46",1695953746640,-7,"28/09/2023 19:15:46",144339,5,"questionnaire-79c5",NA,31934643,9444464,NA,"complete","ihzpok","3F6KKYWMNH0B3NNKVFM7GI8CWHDDNK","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x963",NA,NA,0,"ARI",2,"In","EFDGCHBIAJLK",NA,"LH","In","Somewhat true","2","Not true","1","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","SUPAMT77346"
"1",1695972124228,"29/09/2023 07:22:04",1695954124228,-5,"28/09/2023 21:22:04",144339,5,"questionnaire-79c5",NA,31934658,9444509,NA,"complete","xwbaof","3UJ1CZ6IZNODFN0WO5LAH0UQ6ZRS57","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1352x915",NA,NA,0,"ARI",2,"In","FGEHDICJBKAL",NA,"HL","In","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Not true","1","Not true","1","Somewhat true","2","SUPAMT79962"
"1",1695985288545,"29/09/2023 11:01:28",1695960088545,-7,"28/09/2023 21:01:28",144339,5,"questionnaire-79c5",NA,31935014,9444660,NA,"complete","kfevth","3GGAI1SQE1XVGDW6JICWJX1U6S4CMY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1600x900","1600x757",NA,NA,0,"ARI",2,"In","HIGJFKELDACB",NA,"LH","In","Somewhat true","2","Not true","1","Certainly true","3","Somewhat true","2","Certainly true","3","Not true","1","Somewhat true","2","SUPAMT85773"
"1",1695977566193,"29/09/2023 08:52:46",1695963166193,-4,"29/09/2023 00:52:46",144339,5,"questionnaire-79c5",NA,31935121,9444689,NA,"complete","obzkhc","3FTOP5WARLNLLDV5456K847CT9G0JT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","IJHKGLFAEBDC",NA,"HL","In","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","SUPAMT98014"
"1",1695981291272,"29/09/2023 09:54:51",1695966891272,-4,"29/09/2023 01:54:51",144339,5,"questionnaire-79c5",NA,31935265,9444758,NA,"complete","zvxlrc","33JKGHPFYITE7HTX88LAZ8V65WNNMW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"ARI",2,"In","JKILHAGBFCED",NA,"LH","In","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","Somewhat true","2","Not true","1","SUPAMT99469"
"1",1695990376524,"29/09/2023 12:26:16",1695975976524,-4,"29/09/2023 04:26:16",144339,5,"questionnaire-79c5",NA,31936137,9445077,NA,"complete","dywfjb","3PPTZCWALWJZ9L583P3LB4MKPBEQZP","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"ARI",2,"In","KLJAIBHCGDFE",NA,"HL","In","Somewhat true","2","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","Certainly true","3","Somewhat true","2","SUPAMT79316"
"1",1696002631704,"29/09/2023 15:50:31",1695988231704,-4,"29/09/2023 07:50:31",144339,5,"questionnaire-79c5",NA,31940433,9446440,NA,"complete","jkqwtu","3570Y55XZVI8R61P47WQ3J9GDVMGYG","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1364x768","1364x625",NA,NA,0,"ARI",2,"In","LAKBJCIDHEGF",NA,"LH","In","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","Certainly true","3","Somewhat true","2","Somewhat true","2","SUPAMT84633"
"1",1696004761137,"29/09/2023 16:26:01",1695990361137,-4,"29/09/2023 08:26:01",144339,5,"questionnaire-79c5",NA,31941725,9446640,NA,"complete","mggdmg","3TEM0PF1QBW8IRVDU9K956CZOQRD02","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"ARI",2,"In","ABLCKDJEIFHG",NA,"LH","In","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","Somewhat true","2","Certainly true","3","Certainly true","3","SUPAMT83768"
"1",1695973353107,"29/09/2023 07:42:33",1696002153107,8,"29/09/2023 23:42:33",144339,5,"questionnaire-79c5",NA,31945273,9447609,NA,"complete","mxmddf","33F859I56CCQEU3PEL0OG8NG7NNBH3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1680x1050","1680x855",NA,NA,0,"ARI",2,"In","BCADLEKFJGIH",NA,"HL","In","Somewhat true","2","Certainly true","3","Not true","1","Somewhat true","2","Somewhat true","2","Somewhat true","2","Certainly true","3","SUPAMT59520"
