"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Slider_LH.object.2.Value","Random_ID"
"1",1695940866056,"28/09/2023 22:41:06",1695922866056,-5,"28/09/2023 12:41:06",144339,5,"questionnaire-txxf",NA,31930291,9443065,NA,"complete","hzefyx","351SEKWQS6G5L52KJE7733JCRO8DMJ","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","2048x1152","1365x621",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",NA,"LH","In","26","SUPAMT76549"
"1",1695938259680,"28/09/2023 21:57:39",1695923859680,-4,"28/09/2023 13:57:39",144339,5,"questionnaire-txxf",NA,31930514,9443128,NA,"complete","zurjdg","3LKC68YZ3G2SUENNDPRANVX2T52OWT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","2732x1302",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",NA,"HL","In","53","SUPAMT04571"
"1",1695938298681,"28/09/2023 21:58:18",1695923898681,-4,"28/09/2023 13:58:18",144339,5,"questionnaire-txxf",NA,31930522,9443125,NA,"complete","eduyrf","3SUWZRL0M4C8O8VSSTBAKP4B15E6EP","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"LH","In","93","SUPAMT79304"
"1",1695935972249,"28/09/2023 21:19:32",1695921572249,-4,"28/09/2023 13:19:32",144339,5,"questionnaire-txxf",NA,31929894,9443138,NA,"complete","abqndg","3QFUFYSY94EMFZRA4G21595XHBCF4C","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1345x602",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"HL","In","31","SUPAMT45287"
"1",1695936413632,"28/09/2023 21:26:53",1695922013632,-4,"28/09/2023 13:26:53",144339,5,"questionnaire-txxf",NA,31930056,9443164,NA,"complete","vsoeke","3JPSL1DZ5YYD5GK8B5V5QH06BC3ANY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",NA,"LH","In","100","SUPAMT04530"
"1",1695937235145,"28/09/2023 21:40:35",1695922835145,-4,"28/09/2023 13:40:35",144339,5,"questionnaire-txxf",NA,31930284,9443205,NA,"complete","nilgpd","3OE22WJIGONINMBYX24DUC75NQKQUF","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1680x1050","1503x824",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",NA,"HL","In","-3","SUPAMT79674"
"1",1695938466363,"28/09/2023 22:01:06",1695924066363,-4,"28/09/2023 14:01:06",144339,5,"questionnaire-txxf",NA,31930576,9443255,NA,"complete","wppwme","3WEV0KO0OSR8J0FP3B3TFCIIJDVSDF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",NA,"HL","In","28","SUPAMT02221"
"1",1695940146570,"28/09/2023 22:29:06",1695925746570,-4,"28/09/2023 14:29:06",144339,5,"questionnaire-txxf",NA,31930814,9443330,NA,"complete","uoixja","39O5D9O87ZRUUROWD07HNYSO6YPC3E","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","2560x1440","1727x1018",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",NA,"LH","In","40","SUPAMT18178"
"1",1695959441325,"29/09/2023 03:50:41",1695945041325,-4,"28/09/2023 19:50:41",144339,5,"questionnaire-txxf",NA,31934064,9444242,NA,"complete","lhstkr","3SB4CE2TJ1UIHAYCDBIEOJR4DSDAXM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",NA,"HL","In","49","SUPAMT66456"
"1",1695965173224,"29/09/2023 05:26:13",1695947173224,-5,"28/09/2023 19:26:13",144339,5,"questionnaire-txxf",NA,31934193,9444288,NA,"complete","bohqhj","3HYA4D452XICCLCN02JDCU8ZXZMF2Q","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",NA,"HL","In","57","SUPAMT80658"
"1",1695965081594,"29/09/2023 05:24:41",1695950681594,-4,"28/09/2023 21:24:41",144339,5,"questionnaire-txxf",NA,31934450,9444430,NA,"complete","hjvrmt","34YB12FSQ4N8XPCBL48F9OM94J9GMN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1821x868",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",NA,"LH","In","90","SUPAMT82077"
"1",1695966862361,"29/09/2023 05:54:22",1695952462361,-4,"28/09/2023 21:54:22",144339,5,"questionnaire-txxf",NA,31934581,9444420,NA,"complete","zwspjh","3ZGVPD4G6ZGC11X0KTXGG9X79HTZTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",NA,"HL","In","91","SUPAMT72748"
