"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Multiple.Choice.object.2.Response","Multiple.Choice.object.2.Quantised","Random_ID"
"1",1695936210723,"28/09/2023 21:23:30",1695921810723,-4,"28/09/2023 13:23:30",144339,5,"questionnaire-tzdp",NA,31929985,9443164,NA,"complete","vsoeke","3JPSL1DZ5YYD5GK8B5V5QH06BC3ANY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"Attention Check 1",2,"In","HIGJFKELDACB",NA,"LH","In","1","2","SUPAMT04530"
"1",1695937088181,"28/09/2023 21:38:08",1695922688181,-4,"28/09/2023 13:38:08",144339,5,"questionnaire-tzdp",NA,31930242,9443205,NA,"complete","nilgpd","3OE22WJIGONINMBYX24DUC75NQKQUF","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1680x1050","1503x824",NA,NA,0,"Attention Check 1",2,"In","IJHKGLFAEBDC",NA,"HL","In","1","2","SUPAMT79674"
"1",1695938287813,"28/09/2023 21:58:07",1695923887813,-4,"28/09/2023 13:58:07",144339,5,"questionnaire-tzdp",NA,31930521,9443255,NA,"complete","wppwme","3WEV0KO0OSR8J0FP3B3TFCIIJDVSDF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","JKILHAGBFCED",NA,"HL","In","1","2","SUPAMT02221"
"1",1695939918716,"28/09/2023 22:25:18",1695925518716,-4,"28/09/2023 14:25:18",144339,5,"questionnaire-tzdp",NA,31930772,9443330,NA,"complete","uoixja","39O5D9O87ZRUUROWD07HNYSO6YPC3E","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","2560x1440","1727x1018",NA,NA,0,"Attention Check 1",2,"In","KLJAIBHCGDFE",NA,"LH","In","1","2","SUPAMT18178"
"1",1695958965304,"29/09/2023 03:42:45",1695944565304,-4,"28/09/2023 19:42:45",144339,5,"questionnaire-tzdp",NA,31934018,9444242,NA,"complete","lhstkr","3SB4CE2TJ1UIHAYCDBIEOJR4DSDAXM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","ABLCKDJEIFHG",NA,"HL","In","1","2","SUPAMT66456"
"1",1695964223963,"29/09/2023 05:10:23",1695946223963,-5,"28/09/2023 19:10:23",144339,5,"questionnaire-tzdp",NA,31934132,9444288,NA,"complete","bohqhj","3HYA4D452XICCLCN02JDCU8ZXZMF2Q","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 1",2,"In","BCADLEKFJGIH",NA,"HL","In","1","2","SUPAMT80658"
"1",1695964616210,"29/09/2023 05:16:56",1695950216210,-4,"28/09/2023 21:16:56",144339,5,"questionnaire-tzdp",NA,31934403,9444420,NA,"complete","zwspjh","3ZGVPD4G6ZGC11X0KTXGG9X79HTZTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","CDBEAFLGKHJI",NA,"HL","In","1","2","SUPAMT72748"
"1",1695964941658,"29/09/2023 05:22:21",1695950541658,-4,"28/09/2023 21:22:21",144339,5,"questionnaire-tzdp",NA,31934434,9444430,NA,"complete","hjvrmt","34YB12FSQ4N8XPCBL48F9OM94J9GMN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 1",2,"In","DECFBGAHLIKJ",NA,"LH","In","1","2","SUPAMT82077"
"1",1695977598816,"29/09/2023 08:53:18",1695952398816,-7,"28/09/2023 18:53:18",144339,5,"questionnaire-tzdp",NA,31934573,9444464,NA,"complete","ihzpok","3F6KKYWMNH0B3NNKVFM7GI8CWHDDNK","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x963",NA,NA,0,"Attention Check 1",2,"In","EFDGCHBIAJLK",NA,"LH","In","1","2","SUPAMT77346"
"1",1695971521016,"29/09/2023 07:12:01",1695953521016,-5,"28/09/2023 21:12:01",144339,5,"questionnaire-tzdp",NA,31934634,9444509,NA,"complete","xwbaof","3UJ1CZ6IZNODFN0WO5LAH0UQ6ZRS57","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1352x915",NA,NA,0,"Attention Check 1",2,"In","FGEHDICJBKAL",NA,"HL","In","1","2","SUPAMT79962"
