"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Consent.Form.object.2.I.have.read.and.understood.the.information.sheet.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating.as.stated.in.the.Information.Sheet..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.hereby.confirm.that....a..I.understand.the.inclusion.criteria.as.detailed.in.the.Study.Description..b..I.meet.these.criteria..and.do.not.meet.any.of.the.exclusion.criteria..c..I.do.not.have.current.or.past.experiences.of.psychosis.or.neurological.conditions....I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1695956599163,"29/09/2023 03:03:19",1695942199163,-4,"28/09/2023 19:03:19",144339,5,"questionnaire-1tsk",NA,31929515,9443087,NA,"complete","qdeniu","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Consent",9,"In","BCADLEKFJGIH",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT45287"
"1",1695935498266,"28/09/2023 21:11:38",1695921098266,-4,"28/09/2023 13:11:38",144339,5,"questionnaire-1tsk",NA,31929698,9443125,NA,"complete","eduyrf","3SUWZRL0M4C8O8VSSTBAKP4B15E6EP","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent",9,"In","DECFBGAHLIKJ",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT79304"
"1",1695935509896,"28/09/2023 21:11:49",1695921109896,-4,"28/09/2023 13:11:49",144339,5,"questionnaire-1tsk",NA,31929704,9443128,NA,"complete","zurjdg","3LKC68YZ3G2SUENNDPRANVX2T52OWT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Consent",9,"In","EFDGCHBIAJLK",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT04571"
"1",1695935648937,"28/09/2023 21:14:08",1695921248937,-4,"28/09/2023 13:14:08",144339,5,"questionnaire-1tsk",NA,31929750,9443138,NA,"complete","abqndg","3QFUFYSY94EMFZRA4G21595XHBCF4C","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1345x602",NA,NA,0,"Consent",9,"In","CDBEAFLGKHJI",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT45287"
"1",1695936122046,"28/09/2023 21:22:02",1695921722046,-4,"28/09/2023 13:22:02",144339,5,"questionnaire-1tsk",NA,31929952,9443164,NA,"complete","vsoeke","3JPSL1DZ5YYD5GK8B5V5QH06BC3ANY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"Consent",9,"In","HIGJFKELDACB",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT04530"
"1",1695937048205,"28/09/2023 21:37:28",1695922648205,-4,"28/09/2023 13:37:28",144339,5,"questionnaire-1tsk",NA,31930234,9443205,NA,"complete","nilgpd","3OE22WJIGONINMBYX24DUC75NQKQUF","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1680x1050","1503x824",NA,NA,0,"Consent",9,"In","IJHKGLFAEBDC",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT79674"
"1",1695938034260,"28/09/2023 21:53:54",1695923634260,-4,"28/09/2023 13:53:54",144339,5,"questionnaire-1tsk",NA,31930456,9443255,NA,"complete","wppwme","3WEV0KO0OSR8J0FP3B3TFCIIJDVSDF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Consent",9,"In","JKILHAGBFCED",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT02221"
"1",1695939884965,"28/09/2023 22:24:44",1695925484965,-4,"28/09/2023 14:24:44",144339,5,"questionnaire-1tsk",NA,31930767,9443330,NA,"complete","uoixja","39O5D9O87ZRUUROWD07HNYSO6YPC3E","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","2560x1440","1727x1018",NA,NA,0,"Consent",9,"In","KLJAIBHCGDFE",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT18178"
"1",1695958803358,"29/09/2023 03:40:03",1695944403358,-4,"28/09/2023 19:40:03",144339,5,"questionnaire-1tsk",NA,31934013,9444242,NA,"complete","lhstkr","3SB4CE2TJ1UIHAYCDBIEOJR4DSDAXM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent",9,"In","ABLCKDJEIFHG",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT66456"
"1",1695963968554,"29/09/2023 05:06:08",1695945968554,-5,"28/09/2023 19:06:08",144339,5,"questionnaire-1tsk",NA,31934110,9444288,NA,"complete","bohqhj","3HYA4D452XICCLCN02JDCU8ZXZMF2Q","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Consent",9,"In","BCADLEKFJGIH",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT80658"
"1",1695964567819,"29/09/2023 05:16:07",1695950167819,-4,"28/09/2023 21:16:07",144339,5,"questionnaire-1tsk",NA,31934400,9444420,NA,"complete","zwspjh","3ZGVPD4G6ZGC11X0KTXGG9X79HTZTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Consent",9,"In","CDBEAFLGKHJI",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT72748"
"1",1695964916760,"29/09/2023 05:21:56",1695950516760,-4,"28/09/2023 21:21:56",144339,5,"questionnaire-1tsk",NA,31934432,9444430,NA,"complete","hjvrmt","34YB12FSQ4N8XPCBL48F9OM94J9GMN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Consent",9,"In","DECFBGAHLIKJ",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT82077"
"1",1695977362322,"29/09/2023 08:49:22",1695952162322,-7,"28/09/2023 18:49:22",144339,5,"questionnaire-1tsk",NA,31934553,9444464,NA,"complete","ihzpok","3F6KKYWMNH0B3NNKVFM7GI8CWHDDNK","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x963",NA,NA,0,"Consent",9,"In","EFDGCHBIAJLK",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT77346"
"1",1695971497734,"29/09/2023 07:11:37",1695953497734,-5,"28/09/2023 21:11:37",144339,5,"questionnaire-1tsk",NA,31934631,9444509,NA,"complete","xwbaof","3UJ1CZ6IZNODFN0WO5LAH0UQ6ZRS57","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1352x915",NA,NA,0,"Consent",9,"In","FGEHDICJBKAL",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT79962"
"1",1695984769794,"29/09/2023 10:52:49",1695959569794,-7,"28/09/2023 20:52:49",144339,5,"questionnaire-1tsk",NA,31934981,9444660,NA,"complete","kfevth","3GGAI1SQE1XVGDW6JICWJX1U6S4CMY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1600x900","1600x757",NA,NA,0,"Consent",9,"In","HIGJFKELDACB",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT85773"
"1",1695976898158,"29/09/2023 08:41:38",1695962498158,-4,"29/09/2023 00:41:38",144339,5,"questionnaire-1tsk",NA,31935089,9444689,NA,"complete","obzkhc","3FTOP5WARLNLLDV5456K847CT9G0JT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Consent",9,"In","IJHKGLFAEBDC",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT98014"
"1",1695981202531,"29/09/2023 09:53:22",1695966802531,-4,"29/09/2023 01:53:22",144339,5,"questionnaire-1tsk",NA,31935257,9444758,NA,"complete","zvxlrc","33JKGHPFYITE7HTX88LAZ8V65WNNMW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"Consent",9,"In","JKILHAGBFCED",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT99469"
"1",1695990266776,"29/09/2023 12:24:26",1695975866776,-4,"29/09/2023 04:24:26",144339,5,"questionnaire-1tsk",NA,31936122,9445077,NA,"complete","dywfjb","3PPTZCWALWJZ9L583P3LB4MKPBEQZP","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Consent",9,"In","KLJAIBHCGDFE",NA,"HL","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT79316"
"1",1696002451122,"29/09/2023 15:47:31",1695988051122,-4,"29/09/2023 07:47:31",144339,5,"questionnaire-1tsk",NA,31940373,9446440,NA,"complete","jkqwtu","3570Y55XZVI8R61P47WQ3J9GDVMGYG","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1364x768","1364x625",NA,NA,0,"Consent",9,"In","LAKBJCIDHEGF",NA,"LH","In","1","1","1","1","1","1","1","1","1","1","1","SUPAMT84633"
