"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","randomiser.a4zk","branch.4fv7","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695938572716,"28/09/2023 22:02:52",1695924172716,-4,"28/09/2023 14:02:52",144339,5,"questionnaire-qxhw",NA,31930602,9443128,NA,"complete","zurjdg","3LKC68YZ3G2SUENNDPRANVX2T52OWT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1707x813",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"HL","In","0","4","SUPAMT04571"
"1",1695936125295,"28/09/2023 21:22:05",1695921725295,-4,"28/09/2023 13:22:05",144339,5,"questionnaire-qxhw",NA,31929953,9443138,NA,"complete","abqndg","3QFUFYSY94EMFZRA4G21595XHBCF4C","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1364x768","1345x602",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"HL","In","1-0","1","SUPAMT45287"
"1",1695937376529,"28/09/2023 21:42:56",1695922976529,-4,"28/09/2023 13:42:56",144339,5,"questionnaire-qxhw",NA,31930320,9443164,NA,"complete","vsoeke","3JPSL1DZ5YYD5GK8B5V5QH06BC3ANY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1364x768","1364x657",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"LH","In","1-0","1","SUPAMT04530"
"1",1695937531640,"28/09/2023 21:45:31",1695923131640,-4,"28/09/2023 13:45:31",144339,5,"questionnaire-qxhw",NA,31930354,9443205,NA,"complete","nilgpd","3OE22WJIGONINMBYX24DUC75NQKQUF","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1680x1050","1503x824",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"HL","In","1-0","1","SUPAMT79674"
"1",1695938624612,"28/09/2023 22:03:44",1695924224612,-4,"28/09/2023 14:03:44",144339,5,"questionnaire-qxhw",NA,31930618,9443255,NA,"complete","wppwme","3WEV0KO0OSR8J0FP3B3TFCIIJDVSDF","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED",NA,"HL","In","0-2","3","SUPAMT02221"
"1",1695940321992,"28/09/2023 22:32:01",1695925921992,-4,"28/09/2023 14:32:01",144339,5,"questionnaire-qxhw",NA,31930858,9443330,NA,"complete","uoixja","39O5D9O87ZRUUROWD07HNYSO6YPC3E","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","2560x1440","1727x1018",NA,NA,0,"Attention Check 2",2,"In","KLJAIBHCGDFE",NA,"LH","In","1-0","1","SUPAMT18178"
"1",1695959609975,"29/09/2023 03:53:29",1695945209975,-4,"28/09/2023 19:53:29",144339,5,"questionnaire-qxhw",NA,31934074,9444242,NA,"complete","lhstkr","3SB4CE2TJ1UIHAYCDBIEOJR4DSDAXM","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"HL","In","0-2","3","SUPAMT66456"
"1",1695965378963,"29/09/2023 05:29:38",1695947378963,-5,"28/09/2023 19:29:38",144339,5,"questionnaire-qxhw",NA,31934211,9444288,NA,"complete","bohqhj","3HYA4D452XICCLCN02JDCU8ZXZMF2Q","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"HL","In","1-0","1","SUPAMT80658"
"1",1695965351886,"29/09/2023 05:29:11",1695950951886,-4,"28/09/2023 21:29:11",144339,5,"questionnaire-qxhw",NA,31934471,9444430,NA,"complete","hjvrmt","34YB12FSQ4N8XPCBL48F9OM94J9GMN","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1821x868",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"LH","In","0-2","3","SUPAMT82077"
"1",1695967350821,"29/09/2023 06:02:30",1695952950821,-4,"28/09/2023 22:02:30",144339,5,"questionnaire-qxhw",NA,31934610,9444420,NA,"complete","zwspjh","3ZGVPD4G6ZGC11X0KTXGG9X79HTZTQ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"HL","In","0-2","3","SUPAMT72748"
"1",1695979096954,"29/09/2023 09:18:16",1695953896954,-7,"28/09/2023 19:18:16",144339,5,"questionnaire-qxhw",NA,31934648,9444464,NA,"complete","ihzpok","3F6KKYWMNH0B3NNKVFM7GI8CWHDDNK","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x963",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"LH","In","1-0","1","SUPAMT77346"
"1",1695972252153,"29/09/2023 07:24:12",1695954252153,-5,"28/09/2023 21:24:12",144339,5,"questionnaire-qxhw",NA,31934664,9444509,NA,"complete","xwbaof","3UJ1CZ6IZNODFN0WO5LAH0UQ6ZRS57","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1352x915",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"HL","In","1-0","1","SUPAMT79962"
"1",1695986049752,"29/09/2023 11:14:09",1695960849752,-7,"28/09/2023 21:14:09",144339,5,"questionnaire-qxhw",NA,31935048,9444660,NA,"complete","kfevth","3GGAI1SQE1XVGDW6JICWJX1U6S4CMY","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1600x900","1600x757",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"LH","In","1","2","SUPAMT85773"
"1",1695979188751,"29/09/2023 09:19:48",1695964788751,-4,"29/09/2023 01:19:48",144339,5,"questionnaire-qxhw",NA,31935169,9444689,NA,"complete","obzkhc","3FTOP5WARLNLLDV5456K847CT9G0JT","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"HL","In","1-0","1","SUPAMT98014"
"1",1695981621402,"29/09/2023 10:00:21",1695967221402,-4,"29/09/2023 02:00:21",144339,5,"questionnaire-qxhw",NA,31935293,9444758,NA,"complete","zvxlrc","33JKGHPFYITE7HTX88LAZ8V65WNNMW","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x800","1280x651",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED",NA,"LH","In","1-0","1","SUPAMT99469"
"1",1695991182660,"29/09/2023 12:39:42",1695976782660,-4,"29/09/2023 04:39:42",144339,5,"questionnaire-qxhw",NA,31936246,9445077,NA,"complete","dywfjb","3PPTZCWALWJZ9L583P3LB4MKPBEQZP","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","KLJAIBHCGDFE",NA,"HL","In","1-0","1","SUPAMT79316"
"1",1696003955337,"29/09/2023 16:12:35",1695989555337,-4,"29/09/2023 08:12:35",144339,5,"questionnaire-qxhw",NA,31941258,9446440,NA,"complete","jkqwtu","3570Y55XZVI8R61P47WQ3J9GDVMGYG","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1364x768","1364x625",NA,NA,0,"Attention Check 2",2,"In","LAKBJCIDHEGF",NA,"LH","In","1-0","1","SUPAMT84633"
"1",1696005046497,"29/09/2023 16:30:46",1695990646497,-4,"29/09/2023 08:30:46",144339,5,"questionnaire-qxhw",NA,31941861,9446640,NA,"complete","mggdmg","3TEM0PF1QBW8IRVDU9K956CZOQRD02","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"LH","In","1-0","1","SUPAMT83768"
"1",1695973658270,"29/09/2023 07:47:38",1696002458270,8,"29/09/2023 23:47:38",144339,5,"questionnaire-qxhw",NA,31945350,9447609,NA,"complete","mxmddf","33F859I56CCQEU3PEL0OG8NG7NNBH3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1680x1050","1680x855",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"HL","In","1-0","1","SUPAMT59520"
"1",1696019926890,"29/09/2023 20:38:46",1696005526890,-4,"29/09/2023 12:38:46",144339,5,"questionnaire-qxhw",NA,31946555,9447893,NA,"complete","rijfea","3MTMREQS41H3SATM36MSM0DX4TFAW7","computer","Desktop or Laptop","Windows 10","Firefox 118.0","1920x1080","1920x927",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"HL","In","1-0","1","SUPAMT44713"
"1",1696025642726,"29/09/2023 22:14:02",1696007642726,-5,"29/09/2023 12:14:02",144339,5,"questionnaire-qxhw",NA,31946997,9447987,NA,"complete","mmghxq","3LQ8PUHQFRR012HVKVS52VRT2DKIHW","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x963",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"LH","In","1-0","1","SUPAMT74748"
"1",1696028945156,"29/09/2023 23:09:05",1696010945156,-5,"29/09/2023 13:09:05",144339,5,"questionnaire-qxhw",NA,31947658,9448071,NA,"complete","hqhsls","3TAYZSBPLR7LGQH96MJCJTREMS8S2K","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"HL","In","1","2","SUPAMT13490"
"1",1696040435380,"30/09/2023 02:20:35",1696015235380,-7,"29/09/2023 12:20:35",144339,5,"questionnaire-qxhw",NA,31948893,9448447,NA,"complete","ftbarf","38BQUHLA92ZWP2T99NLNEXVBV9AOM0","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x974",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"LH","In","0-2","3","SUPAMT98515"
"1",1696013662119,"29/09/2023 18:54:22",1696017262119,1,"29/09/2023 20:54:22",144339,5,"questionnaire-qxhw",NA,31949274,9448594,NA,"complete","srxbrz","3NC5L260MULQJS1SN0HAJ7B2Y98FOW","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1536x864","1536x715",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"HL","In","1-0","1","SUPAMT42721"
"1",1696052919202,"30/09/2023 05:48:39",1696027719202,-7,"29/09/2023 15:48:39",144339,5,"questionnaire-qxhw",NA,31950758,9448904,NA,"complete","gqsmgp","3KRVW3HTZTKBNUL2G42WY25CS0MSME","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"LH","In","1-0","1","SUPAMT24909"
"1",1696051411856,"30/09/2023 05:23:31",1696037011856,-4,"29/09/2023 21:23:31",144339,5,"questionnaire-qxhw",NA,31951866,9449073,NA,"complete","gphvsa","3ITXP059P2ILMMFHD7P4IADVO8DSJ0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC",NA,"LH","In","1","2","SUPAMT83327"
