,A : bored,B : constraint,D : end,E : end_taper,F : exp_OCT,G : external OCT,H : external_distraction,I : frequency_ratings,J : frustrated,K : happy_asmood,L : insight,N : mind_wander,O : no_choice_frustration,P : positive_extOCT,Q : time_itself,R : unhappy
146 : MDPRF52248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147 : MDPRF52256,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
148 : MDPRF52734,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
149 : MDPRF52805,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
150 : MDPRF53264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
151 : MDPRF53295,2,0,1,0,1,0,0,0,1,0,0,2,1,0,1,0
152 : MDPRF53346,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
153 : MDPRF53470,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
154 : MDPRF54499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155 : MDPRF54692,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
156 : MDPRF55717,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
157 : MDPRF55920,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2
158 : MDPRF55923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
159 : MDPRF56140,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1
160 : MDPRF56747,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
161 : MDPRF56772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162 : MDPRF57034,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0
163 : MDPRF57043,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
164 : MDPRF57106,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1
165 : MDPRF57371,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
166 : MDPRF58158,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167 : MDPRF58347,2,1,0,0,1,0,0,0,2,0,0,0,1,0,1,2
168 : MDPRF59051,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
169 : MDPRF59307,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
170 : MDPRF59462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171 : MDPRF59799,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
172 : MDPRF60718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
173 : MDPRF60918,2,0,0,0,2,1,0,0,2,0,0,0,0,0,0,2
174 : MDPRF61006,1,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0
175 : MDPRF61804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176 : MDPRF62253,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
177 : MDPRF62293,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
178 : MDPRF62848,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
179 : MDPRF63216,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
180 : MDPRF63588,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
181 : MDPRF63995,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
182 : MDPRF64111,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
183 : MDPRF64832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184 : MDPRF65451,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
185 : MDPRF65671,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
186 : MDPRF65723,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
187 : MDPRF65725,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
188 : MDPRF65760,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
189 : MDPRF65794,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
190 : MDPRF65935,1,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0
191 : MDPRF66053,3,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1
192 : MDPRF67003,2,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1
193 : MDPRF67386,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
194 : MDPRF68498,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195 : MDPRF68541,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
196 : MDPRF68935,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
197 : MDPRF68974,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2
198 : MDPRF69479,2,0,0,0,1,1,0,0,2,0,0,1,1,0,2,0
199 : MDPRF69504,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
200 : MDPRF69535,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
201 : MDPRF70185,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
202 : MDPRF70301,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
203 : MDPRF70979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
204 : MDPRF71082,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
205 : MDPRF72194,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1
206 : MDPRF72748,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
207 : MDPRF73219,2,0,0,0,1,0,0,0,1,1,0,0,1,0,2,1
208 : MDPRF73277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209 : MDPRF73386,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
210 : MDPRF74309,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
