"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Custom.study.tncs.accepted.at","Random_ID"
"49","APPROVED","2023-12-06T18:28:17.766000Z","2023-12-06T19:24:07.625000Z","2023-12-07T10:53:57.202000Z","2023-12-06T19:24:08.129823Z",3350,"C1FKYHSS",243,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF04530"
"50","APPROVED","2023-12-06T18:29:01.148000Z","2023-12-06T19:05:22.978000Z","2023-12-07T11:25:13.057000Z","2023-12-06T19:05:23.603613Z",2182,"C1FKYHSS",25,"English","23","Female","Asian","Philippines","United Kingdom","United Kingdom","English","No","Part-Time","","MDPRF67813"
"51","APPROVED","2023-12-06T18:29:28.503000Z","2023-12-06T19:08:33.319000Z","2023-12-07T10:53:57.581000Z","2023-12-06T19:08:33.878503Z",2345,"C1FKYHSS",1003,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF47987"
"52","APPROVED","2023-12-06T18:32:49.241000Z","2023-12-06T19:22:49.722000Z","2023-12-07T10:50:01.328000Z","2023-12-06T19:22:50.264788Z",3001,"C1FKYHSS",1001,"English","23","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF37474"
"53","APPROVED","2023-12-06T18:31:51.570000Z","2023-12-06T19:18:31.062000Z","2023-12-07T10:50:01.633000Z","2023-12-06T19:18:31.645706Z",2800,"C1FKYHSS",584,"English, Hindi, Urdu","20","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF92404"
"54","APPROVED","2023-12-06T18:35:16.909000Z","2023-12-06T20:06:56.312000Z","2023-12-07T10:53:57.947000Z","2023-12-06T20:06:57.179531Z",5500,"C1FKYHSS",287,"English, Swahili","22","Female","Other","Kenya","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","","MDPRF80468"
"55","APPROVED","2023-12-06T18:35:07.296000Z","2023-12-06T19:27:47.007000Z","2023-12-07T10:50:01.964000Z","2023-12-06T19:27:47.545900Z",3160,"C1FKYHSS",186,"English","23","Female","White","United States","United States","Dominican Republic","English","No","Unemployed (and job seeking)","","MDPRF15273"
"56","APPROVED","2023-12-06T18:37:38.550000Z","2023-12-06T19:30:26.891000Z","2023-12-07T11:33:07.442000Z","2023-12-06T19:30:27.877923Z",3169,"C1FKYHSS",30,"Hindi, Malayalam, English","22","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time","","MDPRF61489"
"57","APPROVED","2023-12-06T18:41:02.826000Z","2023-12-06T19:21:31.516000Z","2023-12-07T10:53:58.283000Z","2023-12-06T19:21:32.011188Z",2429,"C1FKYHSS",76,"English","22","Female","Other","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time","","MDPRF20648"
"58","APPROVED","2023-12-06T18:41:21.968000Z","2023-12-06T19:25:05.867000Z","2023-12-07T11:33:07.749000Z","2023-12-06T19:25:06.446712Z",2624,"C1FKYHSS",650,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF85972"
