"X","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","csum_t","Random_ID"
21,52,1701886459756,"06/12/2023 18:14:19",1701886459756,0,"06/12/2023 18:14:19",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",21,"Rating","Screen 1","poh9ia",1,"response",68,1333.58099999998,2499.99799999999,2509.63399999999,1333.58099999998,2499.99799999999,2509.63399999999,1,1333.58099999998,1176.05300000001,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",7,NA,NA,NA,NA,NA,NA,NA,0.25,NA,62273.1580007152,"MDPRF69845"
22,55,1701886495198,"06/12/2023 18:14:55",1701886495198,0,"06/12/2023 18:14:55",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",22,"Rating","Screen 1","poh9ia",1,"response",14,3783.179,4466.70400000003,4483.52300000004,3783.179,4466.70400000003,4483.52300000004,1,3783.179,700.344000000041,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",8,NA,NA,NA,NA,NA,NA,NA,0.25,NA,66756.6810007153,"MDPRF69845"
23,57,1701886497120,"06/12/2023 18:14:57",1701886497120,0,"06/12/2023 18:14:57",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",23,"Rating","Screen 1","poh9ia",1,"response",68,1316.54399999999,1933.66799999995,1939.18400014302,1316.54399999999,1933.66799999995,1939.18400014302,1,1316.54399999999,622.64000014303,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",8,NA,NA,NA,NA,NA,NA,NA,0.25,NA,68695.8650008583,"MDPRF69845"
24,59,1701886498615,"06/12/2023 18:14:58",1701886498615,0,"06/12/2023 18:14:58",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",24,"Rating","Screen 1","poh9ia",1,"response",80,899.532000000007,1499.40600000002,1500.81600009539,899.532000000007,1499.40600000002,1500.81600009539,1,899.532000000007,601.284000095387,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",8,NA,NA,NA,NA,NA,NA,NA,0.25,NA,70196.6810009537,"MDPRF69845"
25,62,1701886532042,"06/12/2023 18:15:32",1701886532042,0,"06/12/2023 18:15:32",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",25,"Rating","Screen 1","poh9ia",1,"response",76,1899.95899999997,2449.95000000001,2460.56300014304,1899.95899999997,2449.95000000001,2460.56300014304,1,1899.95899999997,560.604000143067,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",9,NA,NA,NA,NA,NA,NA,NA,0.25,NA,72657.2440010967,"MDPRF69845"
26,64,1701886533677,"06/12/2023 18:15:33",1701886533677,0,"06/12/2023 18:15:33",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",26,"Rating","Screen 1","poh9ia",1,"response",27,966.45199999999,1633.11799999996,1646.41300009534,966.45199999999,1633.11799999996,1646.41300009534,1,966.45199999999,679.961000095354,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",9,NA,NA,NA,NA,NA,NA,NA,0.25,NA,74303.6570011921,"MDPRF69845"
27,66,1701886535033,"06/12/2023 18:15:35",1701886535033,0,"06/12/2023 18:15:35",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",27,"Rating","Screen 1","poh9ia",1,"response",75,883.269000000029,1350.26800000004,1366.92000000004,883.269000000029,1350.26800000004,1366.92000000004,1,883.269000000029,483.651000000013,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",9,NA,NA,NA,NA,NA,NA,NA,0.25,NA,75670.5770011921,"MDPRF69845"
28,69,1701886574111,"06/12/2023 18:16:14",1701886574111,0,"06/12/2023 18:16:14",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",28,"Rating","Screen 1","poh9ia",1,"response",70,7549.908,8116.61300000001,8130.06100009539,7549.908,8116.61300000001,8130.06100009539,1,7549.908,580.153000095394,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",10,NA,NA,NA,NA,NA,NA,NA,0.25,NA,83800.6380012875,"MDPRF69845"
29,71,1701886576066,"06/12/2023 18:16:16",1701886576066,0,"06/12/2023 18:16:16",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",29,"Rating","Screen 1","poh9ia",1,"response",73,1383.89500000002,1950.42600000004,1967.13800000004,1383.89500000002,1950.42600000004,1967.13800000004,1,1383.89500000002,583.243000000017,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",10,NA,NA,NA,NA,NA,NA,NA,0.25,NA,85767.7760012875,"MDPRF69845"
30,73,1701886578596,"06/12/2023 18:16:18",1701886578596,0,"06/12/2023 18:16:18",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",30,"Rating","Screen 1","poh9ia",1,"response",47,1783.31099999999,2533.40599999996,2547.82200004766,1783.31099999999,2533.40599999996,2547.82200004766,1,1783.31099999999,764.511000047671,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",10,NA,NA,NA,NA,NA,NA,NA,0.25,NA,88315.5980013352,"MDPRF69845"
