"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","Slider_LH.object.2.Value","branch.mcuq","Random_ID"
1,1692298396003,"17/08/2023 18:53",1692301996003,1,"17/08/2023 20:53",140895,11,"questionnaire-txxf",NA,31240153,NA,"complete",NA,"64de6c2068b434ec15bfd9f1","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","2560x1440","2844x1425",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",9,"","MDPRF14173"
1,1692277468495,"17/08/2023 13:04",1692281068495,1,"17/08/2023 15:04",140895,11,"questionnaire-txxf",NA,31233636,NA,"complete",NA,"64de194ef9f6bd8fc7879ae9","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",10,"","MDPRF70880"
1,1692276963789,"17/08/2023 12:56",1692280563789,1,"17/08/2023 14:56",140895,11,"questionnaire-txxf",NA,31233298,NA,"complete",NA,"64de178fa7e443a0cd6b10ed","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",73,"","MDPRF18662"
1,1692712577182,"22/08/2023 13:56",1692716177182,1,"22/08/2023 15:56",140895,11,"questionnaire-txxf",NA,31284668,NA,"complete",NA,"64e4bd6cb43152842353bf5b","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",-83,"","MDPRF78305"
1,1692712920875,"22/08/2023 14:02",1692716520875,1,"22/08/2023 16:02",140895,11,"questionnaire-txxf",NA,31284824,NA,"complete",NA,"64e4be227a043e01393606e6","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.6.1","1440x900","1440x820",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",-4,"","MDPRF71639"
1,1692715331945,"22/08/2023 14:42",1692718931945,1,"22/08/2023 16:42",140895,11,"questionnaire-txxf",NA,31285749,NA,"complete",NA,"64e4beb229e55de2af7a9b3c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 114.0.0.0","1440x900","1440x788",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",-54,"","MDPRF56870"
1,1692712447444,"22/08/2023 13:54",1692716047444,1,"22/08/2023 15:54",140895,11,"questionnaire-txxf",NA,31284614,NA,"complete",NA,"64e4bd9f85b1f1977897adbe","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x941",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",44,"","MDPRF86502"
1,1692976126101,"25/08/2023 15:08",1692983326101,2,"25/08/2023 19:08",140895,11,"questionnaire-txxf",NA,31364643,NA,"complete",NA,"64e8c161eda1fc714616b040","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x651",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",69,"","MDPRF12592"
1,1692976633819,"25/08/2023 15:17",1692980233819,1,"25/08/2023 17:17",140895,11,"questionnaire-txxf",NA,31364805,NA,"complete",NA,"64e8c1c8e49d631ba7867880","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x782",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",89,"","MDPRF17225"
1,1692976699858,"25/08/2023 15:18",1692980299858,1,"25/08/2023 17:18",140895,11,"questionnaire-txxf",NA,31364821,NA,"complete",NA,"64e8c2263246ecbfdac10c37","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","681x626",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",68,"","MDPRF53463"
1,1692976655316,"25/08/2023 15:17",1692980255316,1,"25/08/2023 17:17",140895,11,"questionnaire-txxf",NA,31364814,NA,"complete",NA,"64e8c55351ef0a949e3a14ef","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1676x943","1676x787",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",62,"","MDPRF34408"
1,1692915113280,"24/08/2023 22:11",1692918713280,1,"25/08/2023 00:11",140895,11,"questionnaire-txxf",NA,31351530,NA,"complete",NA,"64e7d4c167044a4d485741b3","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x595",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",40,"","MDPRF78865"
1,1692962240549,"25/08/2023 11:17",1692965840549,1,"25/08/2023 13:17",140895,11,"questionnaire-txxf",NA,31359724,NA,"complete",NA,"64e88c467150c4cc0bb7785a","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x963",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",26,"","MDPRF65333"
1,1692975571213,"25/08/2023 14:59",1692979171213,1,"25/08/2023 16:59",140895,11,"questionnaire-txxf",NA,31364490,NA,"complete",NA,"64e8bff75233a03e5a5be93f","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1440x696",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",24,"","MDPRF62860"
1,1692976261932,"25/08/2023 15:11",1692979861932,1,"25/08/2023 17:11",140895,11,"questionnaire-txxf",NA,31364684,NA,"complete",NA,"64e8c073319f8a645bd79db7","computer","Desktop or Laptop","Windows 10","Edge 116.0.1938.54","1920x1080","1920x947",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",-18,"","MDPRF61122"
1,1692714802007,"22/08/2023 14:33",1692718402007,1,"22/08/2023 16:33",140895,11,"questionnaire-txxf",NA,31285530,NA,"complete",NA,"64e4c41dd8b56f00e8cfdf89","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x603",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",32,"","MDPRF82563"
1,1692716550190,"22/08/2023 15:02",1692720150190,1,"22/08/2023 17:02",140895,11,"questionnaire-txxf",NA,31286239,NA,"complete",NA,"64e4c6f01c8e2c9970bb0330","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1470x956","1470x835",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",79,"","MDPRF20210"
1,1692987151091,"25/08/2023 18:12",1692990751091,1,"25/08/2023 20:12",140895,11,"questionnaire-txxf",NA,31366911,NA,"complete",NA,"64e8ec61acf8b08f47c7fbb3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1290x744",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",-76,"","MDPRF37840"
1,1692986510462,"25/08/2023 18:01",1692990110462,1,"25/08/2023 20:01",140895,11,"questionnaire-txxf",NA,31366803,NA,"complete",NA,"64e8eb81c2fba210496dbf8c","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1042x711",NA,NA,0,"Life Happiness",2,"In","IJHKGLFAEBDC",-67,"","MDPRF79160"
1,1692986624056,"25/08/2023 18:03",1692990224056,1,"25/08/2023 20:03",140895,11,"questionnaire-txxf",NA,31366828,NA,"complete",NA,"64e8ebc4f9034e9f4f9b0ce8","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","JKILHAGBFCED",-46,"","MDPRF57557"
1,1692983319985,"25/08/2023 17:08",1692986919985,1,"25/08/2023 19:08",140895,11,"questionnaire-txxf",NA,31366211,NA,"complete",NA,"64e8df6c8e442984863e2879","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1536x864","1536x746",NA,NA,0,"Life Happiness",2,"In","HIGJFKELDACB",18,"","MDPRF13951"
1,1692870046654,"24/08/2023 09:40",1692873646654,1,"24/08/2023 11:40",140895,11,"questionnaire-txxf",NA,31337537,NA,"complete",NA,"64e72388c50ea4214e1f967d","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x955",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",-60,"","MDPRF12856"
1,1692874643665,"24/08/2023 10:57",1692878243665,1,"24/08/2023 12:57",140895,11,"questionnaire-txxf",NA,31338389,NA,"complete",NA,"64e7351dd3605325835b20e5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x923",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",68,"","MDPRF26467"
